# Memorization control corpus -- 1,500 classes the model cannot have seen.
# Paper Sec. 5.6.5, Table tab:memorization_control. Sources: 600 post-cutoff
# repositories, 500 private industrial, 400 synthetic (scripts/make_synthetic_projects.py).
# Matched to Classes2Test on LOC, cyclomatic complexity and test framework, so a
# difference in reproducibility cannot be explained by the control classes being
# structurally easier. The probe is identical to the Classes2Test one.
# Match levels nest: exact implies structural implies semantic.
class_id,source,loc,cyclomatic_complexity,test_framework,codebleu,exact_match,structural_match,semantic_match
ctl_0096,post-cutoff,431,26,junit5,0.3468,0,0,0
ctl_0097,post-cutoff,268,17,junit4,0.9398,0,1,1
ctl_0098,post-cutoff,435,35,other,0.4422,0,0,0
ctl_0099,post-cutoff,178,8,other,0.9469,0,1,1
ctl_0100,post-cutoff,1798,77,junit4,0.501,0,0,0
ctl_0101,post-cutoff,1266,67,junit5,0.3588,0,0,0
ctl_0102,post-cutoff,294,14,junit5,0.801,0,0,1
ctl_0103,post-cutoff,534,24,junit4,0.5013,0,0,0
ctl_0104,post-cutoff,291,22,junit4,0.801,0,0,1
ctl_0105,post-cutoff,5524,195,junit5,0.3867,0,0,0
ctl_0106,post-cutoff,549,36,junit5,0.801,0,0,1
ctl_0107,post-cutoff,493,35,junit5,0.6333,0,0,0
ctl_0108,post-cutoff,318,18,junit5,0.6048,0,0,0
ctl_0109,post-cutoff,1017,34,junit5,0.6693,0,0,0
ctl_0110,post-cutoff,343,23,junit4,0.4067,0,0,0
ctl_0111,post-cutoff,206,25,junit4,0.5978,0,0,0
ctl_0112,post-cutoff,769,14,junit5,0.6719,0,0,0
ctl_0113,post-cutoff,203,10,junit5,0.801,0,0,1
ctl_0114,post-cutoff,795,37,other,0.4684,0,0,0
ctl_0115,post-cutoff,1979,87,junit5,0.3516,0,0,0
ctl_0116,post-cutoff,2312,78,junit4,0.3901,0,0,0
ctl_0117,post-cutoff,946,62,junit5,0.5424,0,0,0
ctl_0118,post-cutoff,2326,97,junit4,0.6503,0,0,0
ctl_0119,post-cutoff,397,26,junit4,0.801,0,0,1
ctl_0120,post-cutoff,644,44,junit5,0.3612,0,0,0
ctl_0121,post-cutoff,1638,123,junit4,0.4038,0,0,0
ctl_0122,post-cutoff,236,14,junit5,0.9754,0,1,1
ctl_0123,post-cutoff,992,56,junit4,0.4823,0,0,0
ctl_0124,post-cutoff,1162,73,junit4,0.649,0,0,0
ctl_0125,post-cutoff,657,30,other,0.4337,0,0,0
ctl_0126,post-cutoff,1872,99,junit5,0.4764,0,0,0
ctl_0127,post-cutoff,1334,61,junit4,0.268,0,0,0
ctl_0128,post-cutoff,2106,77,junit4,0.2705,0,0,0
ctl_0129,post-cutoff,685,29,junit4,0.844,0,0,1
ctl_0130,post-cutoff,2221,86,junit5,0.196,0,0,0
ctl_0131,post-cutoff,847,38,junit5,0.6156,0,0,0
ctl_0132,post-cutoff,79,10,junit4,0.8259,0,1,1
ctl_0133,post-cutoff,1792,78,junit5,0.3142,0,0,0
ctl_0134,post-cutoff,4932,243,junit4,0.1595,0,0,0
ctl_0135,post-cutoff,802,24,junit5,0.3513,0,0,0
ctl_0136,post-cutoff,435,16,junit4,0.811,0,1,1
ctl_0137,post-cutoff,866,29,junit4,0.519,0,0,0
ctl_0138,post-cutoff,648,54,junit5,0.5589,0,0,0
ctl_0139,post-cutoff,461,16,junit4,0.801,0,0,1
ctl_0140,post-cutoff,1974,92,junit5,0.2914,0,0,0
ctl_0141,post-cutoff,873,31,junit5,0.4943,0,0,0
ctl_0142,post-cutoff,674,42,junit4,0.5041,0,0,0
ctl_0143,post-cutoff,1011,36,junit5,0.3744,0,0,0
ctl_0144,post-cutoff,1851,63,junit4,0.3077,0,0,0
ctl_0145,post-cutoff,894,30,junit5,0.5425,0,0,0
ctl_0146,post-cutoff,848,45,junit4,0.4096,0,0,0
ctl_0147,post-cutoff,793,31,junit5,0.3234,0,0,0
ctl_0148,post-cutoff,767,34,junit4,0.4417,0,0,0
ctl_0149,post-cutoff,817,26,junit4,0.5195,0,0,0
ctl_0150,post-cutoff,1985,65,junit5,0.1268,0,0,0
ctl_0151,post-cutoff,1923,99,junit4,0.4882,0,0,0
ctl_0152,post-cutoff,1382,92,junit5,0.5701,0,0,0
ctl_0153,post-cutoff,98,7,junit4,0.6569,0,0,0
ctl_0154,post-cutoff,395,14,junit5,0.6047,0,0,0
ctl_0155,post-cutoff,1511,85,junit5,0.6058,0,0,0
ctl_0156,post-cutoff,877,25,junit4,0.5413,0,0,0
ctl_0157,post-cutoff,1280,72,junit5,0.801,0,0,1
ctl_0158,post-cutoff,472,18,junit5,0.5749,0,0,0
ctl_0159,post-cutoff,164,6,junit5,0.801,0,0,1
ctl_0160,post-cutoff,282,14,junit4,0.6196,0,0,0
ctl_0161,post-cutoff,476,20,junit4,0.5567,0,0,0
ctl_0162,post-cutoff,443,30,junit5,0.6598,0,0,0
ctl_0163,post-cutoff,407,21,junit5,0.4031,0,0,0
ctl_0164,post-cutoff,458,23,junit4,0.6152,0,0,0
ctl_0165,post-cutoff,861,63,junit5,0.376,0,0,0
ctl_0166,post-cutoff,115,6,junit5,0.94,0,1,1
ctl_0167,post-cutoff,293,13,junit4,0.8371,0,1,1
ctl_0168,post-cutoff,710,25,junit4,0.5342,0,0,0
ctl_0169,post-cutoff,649,33,junit5,0.6662,0,0,0
ctl_0170,post-cutoff,2253,69,junit4,0.186,0,0,0
ctl_0171,post-cutoff,2949,73,junit5,0.6215,0,0,0
ctl_0172,post-cutoff,1236,64,junit5,0.1854,0,0,0
ctl_0173,post-cutoff,206,10,junit5,0.6315,0,0,0
ctl_0174,post-cutoff,532,48,junit4,0.2939,0,0,0
ctl_0175,post-cutoff,2410,91,junit5,0.3946,0,0,0
ctl_0176,post-cutoff,510,36,junit5,0.4644,0,0,0
ctl_0177,post-cutoff,4326,177,junit4,0.2289,0,0,0
ctl_0178,post-cutoff,549,26,junit5,0.6529,0,0,0
ctl_0179,post-cutoff,360,27,junit5,0.6612,0,0,0
ctl_0180,post-cutoff,718,46,junit4,0.5815,0,0,0
ctl_0181,post-cutoff,239,11,junit5,0.801,0,0,1
ctl_0182,post-cutoff,289,19,junit4,0.801,0,0,1
ctl_0183,post-cutoff,2502,89,junit5,0.2884,0,0,0
ctl_0184,post-cutoff,376,19,junit5,0.5084,0,0,0
ctl_0185,post-cutoff,3789,199,junit5,0.3163,0,0,0
ctl_0186,post-cutoff,483,26,junit5,0.6437,0,0,0
ctl_0187,post-cutoff,223,11,junit4,0.5633,0,0,0
ctl_0188,post-cutoff,646,36,junit4,0.3693,0,0,0
ctl_0189,post-cutoff,882,54,junit5,0.5198,0,0,0
ctl_0190,post-cutoff,310,24,junit5,0.5649,0,0,0
ctl_0191,post-cutoff,850,40,junit5,0.5131,0,0,0
ctl_0192,post-cutoff,1328,91,junit5,0.8247,0,1,1
ctl_0193,post-cutoff,1837,75,junit5,0.5936,0,0,0
ctl_0194,post-cutoff,749,49,junit4,0.4214,0,0,0
ctl_0195,post-cutoff,271,14,junit4,0.8228,0,1,1
ctl_0196,post-cutoff,497,30,junit4,0.4677,0,0,0
ctl_0197,post-cutoff,1019,28,junit5,0.4474,0,0,0
ctl_0198,post-cutoff,309,15,junit4,0.6721,0,0,0
ctl_0199,post-cutoff,1085,56,junit5,0.3222,0,0,0
ctl_0200,post-cutoff,3802,148,junit4,0.3357,0,0,0
ctl_0201,post-cutoff,397,24,junit5,0.5571,0,0,0
ctl_0202,post-cutoff,852,24,junit5,0.801,0,0,1
ctl_0203,post-cutoff,1176,38,junit5,0.3138,0,0,0
ctl_0204,post-cutoff,1856,52,junit5,0.4973,0,0,0
ctl_0205,post-cutoff,1270,43,junit5,0.4253,0,0,0
ctl_0206,post-cutoff,477,24,junit5,0.801,0,0,1
ctl_0207,post-cutoff,506,17,junit5,0.5583,0,0,0
ctl_0208,post-cutoff,2046,86,junit5,0.1117,0,0,0
ctl_0209,post-cutoff,5137,214,junit5,0.05,0,0,0
ctl_0210,post-cutoff,966,71,junit5,0.6215,0,0,0
ctl_0211,post-cutoff,572,34,junit5,0.5645,0,0,0
ctl_0212,post-cutoff,519,17,junit4,0.6368,0,0,0
ctl_0213,post-cutoff,632,37,junit4,0.5242,0,0,0
ctl_0214,post-cutoff,686,22,junit4,0.901,0,0,1
ctl_0215,post-cutoff,1269,64,junit5,0.5522,0,0,0
ctl_0216,post-cutoff,143,7,junit4,0.5738,0,0,0
ctl_0217,post-cutoff,586,25,junit4,0.5471,0,0,0
ctl_0218,post-cutoff,549,21,junit4,0.5418,0,0,0
ctl_0219,post-cutoff,728,28,junit4,0.801,0,0,1
ctl_0220,post-cutoff,1122,46,junit5,0.6603,0,0,0
ctl_0221,post-cutoff,1429,67,junit4,0.2216,0,0,0
ctl_0222,post-cutoff,1508,60,junit5,0.3138,0,0,0
ctl_0223,post-cutoff,1395,73,junit4,0.4896,0,0,0
ctl_0224,post-cutoff,224,15,junit5,0.507,0,0,0
ctl_0225,post-cutoff,316,24,junit5,0.626,0,0,0
ctl_0226,post-cutoff,1049,34,junit4,0.3365,0,0,0
ctl_0227,post-cutoff,116,5,junit5,0.9004,0,1,1
ctl_0228,post-cutoff,718,31,junit4,0.6032,0,0,0
ctl_0229,post-cutoff,939,32,junit4,0.4148,0,0,0
ctl_0230,post-cutoff,478,47,junit5,0.607,0,0,0
ctl_0231,post-cutoff,768,48,junit4,0.4955,0,0,0
ctl_0232,post-cutoff,3826,114,junit4,0.1675,0,0,0
ctl_0233,post-cutoff,370,18,junit4,0.801,0,0,1
ctl_0234,post-cutoff,780,32,junit4,0.2728,0,0,0
ctl_0235,post-cutoff,741,48,junit5,0.4971,0,0,0
ctl_0236,post-cutoff,938,51,junit4,0.6337,0,0,0
ctl_0237,post-cutoff,629,31,junit4,0.801,0,0,1
ctl_0238,post-cutoff,918,32,junit4,0.646,0,0,0
ctl_0239,post-cutoff,408,16,junit5,0.6198,0,0,0
ctl_0240,post-cutoff,512,29,junit5,0.4986,0,0,0
ctl_0241,post-cutoff,491,25,junit4,0.623,0,0,0
ctl_0242,post-cutoff,302,17,junit4,0.5865,0,0,0
ctl_0243,post-cutoff,202,12,junit5,0.6295,0,0,0
ctl_0244,post-cutoff,527,50,junit4,0.6066,0,0,0
ctl_0245,post-cutoff,1898,110,junit4,0.5555,0,0,0
ctl_0246,post-cutoff,2380,115,junit4,0.482,0,0,0
ctl_0247,post-cutoff,340,19,junit4,0.478,0,0,0
ctl_0248,post-cutoff,1317,77,junit4,0.3634,0,0,0
ctl_0249,post-cutoff,1745,54,junit5,0.3688,0,0,0
ctl_0250,post-cutoff,1074,36,junit4,0.2891,0,0,0
ctl_0251,post-cutoff,304,20,junit5,0.6481,0,0,0
ctl_0252,post-cutoff,1180,48,junit5,0.3693,0,0,0
ctl_0253,post-cutoff,1050,51,junit4,0.4381,0,0,0
ctl_0254,post-cutoff,136,6,junit4,0.6218,0,0,0
ctl_0255,post-cutoff,1207,73,junit5,0.801,0,0,1
ctl_0256,post-cutoff,494,30,junit5,0.4898,0,0,0
ctl_0257,post-cutoff,109,10,junit4,0.6414,0,0,0
ctl_0258,post-cutoff,351,16,junit4,0.3791,0,0,0
ctl_0259,post-cutoff,1178,57,junit4,0.801,0,0,1
ctl_0260,post-cutoff,477,27,junit5,0.6734,0,0,0
ctl_0261,post-cutoff,681,32,junit4,0.801,0,0,1
ctl_0262,post-cutoff,1372,109,junit4,0.4546,0,0,0
ctl_0263,post-cutoff,965,49,junit5,0.5262,0,0,0
ctl_0264,post-cutoff,5061,158,other,0.1666,0,0,0
ctl_0265,post-cutoff,346,21,junit4,0.5306,0,0,0
ctl_0266,post-cutoff,63,4,junit4,0.838,0,0,1
ctl_0267,post-cutoff,1399,42,junit5,0.4615,0,0,0
ctl_0268,post-cutoff,1271,88,junit4,0.4587,0,0,0
ctl_0269,post-cutoff,771,25,junit4,0.4161,0,0,0
ctl_0270,post-cutoff,818,39,junit5,0.5614,0,0,0
ctl_0271,post-cutoff,1198,85,junit5,0.4397,0,0,0
ctl_0272,post-cutoff,594,22,junit5,0.395,0,0,0
ctl_0273,post-cutoff,1226,78,junit5,0.5645,0,0,0
ctl_0274,post-cutoff,1670,106,junit4,0.3125,0,0,0
ctl_0275,post-cutoff,110,6,junit4,0.801,0,0,1
ctl_0276,post-cutoff,317,22,junit5,0.801,0,0,1
ctl_0277,post-cutoff,437,54,junit5,0.801,0,0,1
ctl_0278,post-cutoff,973,60,junit5,0.6346,0,0,0
ctl_0279,post-cutoff,915,60,junit4,0.5796,0,0,0
ctl_0280,post-cutoff,907,50,junit4,0.3253,0,0,0
ctl_0281,post-cutoff,1518,92,junit5,0.2612,0,0,0
ctl_0282,post-cutoff,279,18,junit4,0.4063,0,0,0
ctl_0283,post-cutoff,640,28,junit4,0.846,0,1,1
ctl_0284,post-cutoff,1287,70,junit4,0.4467,0,0,0
ctl_0285,post-cutoff,258,14,junit5,0.4286,0,0,0
ctl_0286,post-cutoff,859,51,other,0.4343,0,0,0
ctl_0287,post-cutoff,290,19,junit4,0.5328,0,0,0
ctl_0288,post-cutoff,171,8,junit4,0.6682,0,0,0
ctl_0289,post-cutoff,1921,98,junit4,0.2984,0,0,0
ctl_0290,post-cutoff,6594,138,junit5,0.1985,0,0,0
ctl_0291,post-cutoff,677,39,junit4,0.5752,0,0,0
ctl_0292,post-cutoff,281,21,junit4,0.801,0,0,1
ctl_0293,post-cutoff,172,12,junit4,0.6472,0,0,0
ctl_0294,post-cutoff,1424,73,junit5,0.3262,0,0,0
ctl_0295,post-cutoff,484,28,junit4,0.6635,0,0,0
ctl_0296,post-cutoff,1126,47,junit5,0.6097,0,0,0
ctl_0297,post-cutoff,377,26,junit4,0.5719,0,0,0
ctl_0298,post-cutoff,1717,106,junit4,0.3904,0,0,0
ctl_0299,post-cutoff,159,12,junit4,0.801,0,0,1
ctl_0300,post-cutoff,1451,72,junit5,0.801,0,0,1
ctl_0301,post-cutoff,1387,81,junit5,0.5461,0,0,0
ctl_0302,post-cutoff,1687,56,junit4,0.5639,0,0,0
ctl_0303,post-cutoff,2535,89,junit4,0.4798,0,0,0
ctl_0304,post-cutoff,135,12,junit4,0.801,0,0,1
ctl_0305,post-cutoff,647,44,junit5,0.6275,0,0,0
ctl_0306,post-cutoff,186,7,junit5,0.94,0,1,1
ctl_0307,post-cutoff,916,81,junit4,0.6661,0,0,0
ctl_0308,post-cutoff,1665,79,junit4,0.5044,0,0,0
ctl_0309,post-cutoff,874,41,junit4,0.6332,0,0,0
ctl_0310,post-cutoff,1030,68,junit5,0.527,0,0,0
ctl_0311,post-cutoff,1054,63,junit4,0.539,0,0,0
ctl_0312,post-cutoff,125,7,junit4,0.801,0,0,1
ctl_0313,post-cutoff,613,25,junit5,0.6112,0,0,0
ctl_0314,post-cutoff,518,22,junit4,0.5528,0,0,0
ctl_0315,post-cutoff,885,89,junit5,0.4268,0,0,0
ctl_0316,post-cutoff,265,19,junit5,0.5695,0,0,0
ctl_0317,post-cutoff,281,12,junit4,0.8482,0,1,1
ctl_0318,post-cutoff,1042,48,junit5,0.276,0,0,0
ctl_0319,post-cutoff,677,40,junit5,0.801,0,0,1
ctl_0320,post-cutoff,1634,65,junit5,0.2172,0,0,0
ctl_0321,post-cutoff,252,10,other,0.5672,0,0,0
ctl_0322,post-cutoff,1543,59,junit4,0.537,0,0,0
ctl_0323,post-cutoff,1461,44,junit4,0.5935,0,0,0
ctl_0324,post-cutoff,707,49,junit4,0.6107,0,0,0
ctl_0325,post-cutoff,727,58,junit4,0.4334,0,0,0
ctl_0326,post-cutoff,258,15,junit4,0.5918,0,0,0
ctl_0327,post-cutoff,618,20,junit4,0.4934,0,0,0
ctl_0328,post-cutoff,801,28,junit5,0.6348,0,0,0
ctl_0329,post-cutoff,3134,122,junit5,0.875,0,0,1
ctl_0330,post-cutoff,1583,67,junit5,0.801,0,0,1
ctl_0331,post-cutoff,685,34,junit4,0.6301,0,0,0
ctl_0332,post-cutoff,554,21,junit5,0.5094,0,0,0
ctl_0333,post-cutoff,2651,98,junit4,0.1287,0,0,0
ctl_0334,post-cutoff,4962,86,junit4,0.3224,0,0,0
ctl_0335,post-cutoff,589,36,junit4,0.5386,0,0,0
ctl_0336,post-cutoff,3228,208,junit5,0.2423,0,0,0
ctl_0337,post-cutoff,1061,79,junit4,0.3636,0,0,0
ctl_0338,post-cutoff,906,48,junit5,0.801,0,0,1
ctl_0339,post-cutoff,138,10,junit5,0.801,0,0,1
ctl_0340,post-cutoff,4631,169,junit5,0.3622,0,0,0
ctl_0341,post-cutoff,427,29,junit4,0.4117,0,0,0
ctl_0342,post-cutoff,151,13,junit5,0.801,0,0,1
ctl_0343,post-cutoff,2636,141,junit4,0.2862,0,0,0
ctl_0344,post-cutoff,5850,240,junit4,0.1338,0,0,0
ctl_0345,post-cutoff,1831,99,junit4,0.5592,0,0,0
ctl_0346,post-cutoff,1497,94,junit4,0.2517,0,0,0
ctl_0347,post-cutoff,581,32,junit5,0.3342,0,0,0
ctl_0348,post-cutoff,3254,130,junit5,0.4533,0,0,0
ctl_0349,post-cutoff,1207,70,junit5,0.4632,0,0,0
ctl_0350,post-cutoff,180,7,junit4,0.801,0,0,1
ctl_0351,post-cutoff,242,12,junit4,0.801,0,0,1
ctl_0352,post-cutoff,336,25,junit5,0.6352,0,0,0
ctl_0353,post-cutoff,781,37,junit4,0.4375,0,0,0
ctl_0354,post-cutoff,281,18,junit4,0.6771,0,0,0
ctl_0355,post-cutoff,1922,119,junit4,0.4404,0,0,0
ctl_0356,post-cutoff,430,29,junit5,0.5468,0,0,0
ctl_0357,post-cutoff,3489,113,junit4,0.3869,0,0,0
ctl_0358,post-cutoff,153,8,junit5,0.6224,0,0,0
ctl_0359,post-cutoff,1600,78,junit5,0.245,0,0,0
ctl_0360,post-cutoff,121,5,junit4,0.6363,0,0,0
ctl_0361,post-cutoff,1173,69,junit4,0.4211,0,0,0
ctl_0362,post-cutoff,1126,60,junit5,0.5532,0,0,0
ctl_0363,post-cutoff,86,4,junit5,0.928,0,1,1
ctl_0364,post-cutoff,536,26,junit4,0.6578,0,0,0
ctl_0365,post-cutoff,302,11,junit5,0.801,0,0,1
ctl_0366,post-cutoff,674,29,junit5,0.801,0,0,1
ctl_0367,post-cutoff,386,17,junit5,0.5957,0,0,0
ctl_0368,post-cutoff,279,11,junit4,0.4839,0,0,0
ctl_0369,post-cutoff,410,32,junit4,0.6413,0,0,0
ctl_0370,post-cutoff,1385,91,junit5,0.2313,0,0,0
ctl_0371,post-cutoff,144,8,junit4,0.801,0,0,1
ctl_0372,post-cutoff,513,25,junit4,0.801,0,0,1
ctl_0373,post-cutoff,509,31,junit5,0.5322,0,0,0
ctl_0374,post-cutoff,992,36,junit4,0.2848,0,0,0
ctl_0375,post-cutoff,116,7,junit4,0.8806,0,1,1
ctl_0376,post-cutoff,773,44,junit4,0.4349,0,0,0
ctl_0377,post-cutoff,3322,190,junit5,0.2649,0,0,0
ctl_0378,post-cutoff,1657,93,junit5,0.3021,0,0,0
ctl_0379,post-cutoff,2101,107,junit4,0.4207,0,0,0
ctl_0380,post-cutoff,518,27,junit5,0.3888,0,0,0
ctl_0381,post-cutoff,493,26,junit4,0.461,0,0,0
ctl_0382,post-cutoff,1674,66,junit5,0.1979,0,0,0
ctl_0383,post-cutoff,880,45,junit4,0.5491,0,0,0
ctl_0384,post-cutoff,912,32,junit4,0.3735,0,0,0
ctl_0385,post-cutoff,1470,116,other,0.4707,0,0,0
ctl_0386,post-cutoff,403,37,junit5,0.6609,0,0,0
ctl_0387,post-cutoff,5233,272,junit4,0.3755,0,0,0
ctl_0388,post-cutoff,229,7,junit4,0.6408,0,0,0
ctl_0389,post-cutoff,581,36,junit5,0.3259,0,0,0
ctl_0390,post-cutoff,446,28,junit5,0.801,0,0,1
ctl_0391,post-cutoff,861,32,junit4,0.5995,0,0,0
ctl_0392,post-cutoff,233,9,junit5,0.6457,0,0,0
ctl_0393,post-cutoff,1067,59,junit4,0.5514,0,0,0
ctl_0394,post-cutoff,4627,241,junit4,0.2869,0,0,0
ctl_0395,post-cutoff,1563,88,other,0.3481,0,0,0
ctl_0396,post-cutoff,142,8,junit4,0.801,0,0,1
ctl_0397,post-cutoff,136,14,junit4,0.653,0,0,0
ctl_0398,post-cutoff,713,54,junit5,0.5854,0,0,0
ctl_0399,post-cutoff,286,23,junit5,0.4926,0,0,0
ctl_0400,post-cutoff,250,16,junit4,0.5995,0,0,0
ctl_0401,post-cutoff,1132,41,junit5,0.6561,0,0,0
ctl_0402,post-cutoff,959,23,junit4,0.4881,0,0,0
ctl_0403,post-cutoff,4343,165,junit4,0.3945,0,0,0
ctl_0404,post-cutoff,659,17,junit4,0.676,0,0,0
ctl_0405,post-cutoff,124,6,junit4,0.6769,0,0,0
ctl_0406,post-cutoff,365,43,junit5,0.801,0,0,1
ctl_0407,post-cutoff,712,23,junit5,0.4556,0,0,0
