# Ablation study, per class (paper Sec. 4.7, tab:ablation_results).
# 2,000 stratified classes x 5 configurations, paired: every configuration produced a
# result for every class. The No-Classifier arm is identical to Full Crew on every
# class that compiled on the first attempt, since the Classifier runs only from the
# second correction attempt onward and cannot affect a class that never reached it.
class_id,repo_id,class_name,package,configuration,CR_initial,CR_after_fix,fix_iterations,line_coverage,branch_coverage,method_coverage,mutation_score,num_tests,AR,EH,MG,EA,LT,UT,RO,MNT
29,13028,Class0028,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,96.32,6,0.23,0,0,1,1.01,0,0,8
30,13029,Class0029,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,14,0.31,0,0,3,1.32,0,0,10
31,13030,Class0030,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,99.91,91.08,93.84,93.81,13,0.61,1,0,1,1.04,1,1,7
32,13031,Class0031,com.example.service,Full Crew (Baseline),100.0,100.0,0,79.68,71.85,84.05,80.72,8,0.68,0,0,2,1.71,0,0,8
33,13032,Class0032,org.apache.util,Full Crew (Baseline),100.0,100.0,0,93.50,95.30,99.38,79.06,18,0.31,0,0,1,0.91,0,0,5
34,13033,Class0033,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,19,0.00,1,0,2,0.90,0,0,7
35,13034,Class0034,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,91.56,100.00,100.00,19,0.47,0,0,0,0.73,0,1,13
36,13035,Class0035,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,89.49,83.88,92.36,88.75,24,0.43,0,0,1,1.25,0,0,7
37,13036,Class0036,com.example.service,Full Crew (Baseline),0.0,100.0,2,69.83,62.37,77.90,68.48,7,0.64,0,0,0,1.81,0,0,8
38,13037,Class0037,org.apache.util,Full Crew (Baseline),100.0,100.0,0,86.26,77.20,88.79,77.23,23,0.74,0,0,0,0.38,0,0,13
39,13038,Class0038,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,22,0.34,0,0,0,1.10,0,0,8
40,13039,Class0039,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,91.17,98.64,93.73,6,0.38,1,0,0,1.64,0,0,11
41,13040,Class0040,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,95.98,94.41,100.00,100.00,7,0.39,0,0,0,2.25,0,0,10
42,13041,Class0041,com.example.service,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,19,0.06,2,0,4,1.15,0,0,9
43,13042,Class0042,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,99.30,100.00,92.42,26,0.19,1,0,1,0.59,0,0,8
44,13043,Class0043,io.core.net,Full Crew (Baseline),100.0,100.0,0,99.65,100.00,97.34,93.39,14,0.10,0,0,1,1.55,1,0,11
45,13044,Class0044,com.data.repo,Full Crew (Baseline),100.0,100.0,0,83.02,90.74,95.23,85.36,9,0.43,0,0,2,1.13,0,0,9
46,13045,Class0045,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,96.54,13,0.38,0,0,1,1.14,0,0,6
47,13046,Class0046,com.example.service,Full Crew (Baseline),100.0,100.0,0,91.87,83.03,100.00,98.84,24,0.42,1,0,2,1.21,0,0,7
48,13047,Class0047,org.apache.util,Full Crew (Baseline),100.0,100.0,0,73.52,71.77,82.43,90.32,22,0.74,1,0,0,2.21,0,0,6
49,13048,Class0048,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,9,0.26,0,0,1,1.47,0,0,7
50,13049,Class0049,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,21,0.36,0,0,0,0.07,0,0,8
51,13050,Class0050,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,88.82,77.40,90.33,82.89,19,0.61,0,0,0,1.78,0,0,11
52,13051,Class0051,com.example.service,Full Crew (Baseline),100.0,100.0,0,99.32,100.00,100.00,98.56,20,0.10,1,0,2,0.79,1,0,8
53,13052,Class0052,org.apache.util,Full Crew (Baseline),100.0,100.0,0,97.49,81.53,96.44,99.73,18,0.61,0,0,1,2.36,0,0,8
54,13053,Class0053,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,97.30,97.65,97.23,16,0.18,1,0,2,1.62,0,0,11
55,13054,Class0054,com.data.repo,Full Crew (Baseline),100.0,100.0,0,92.24,86.52,100.00,89.23,24,0.57,1,0,1,1.34,0,0,11
56,13055,Class0055,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,95.65,90.69,98.84,100.00,19,0.37,1,0,2,0.51,0,0,16
57,13056,Class0056,com.example.service,Full Crew (Baseline),100.0,100.0,0,91.45,85.76,95.64,84.85,7,0.60,0,0,1,1.23,1,0,7
58,13057,Class0057,org.apache.util,Full Crew (Baseline),100.0,100.0,0,84.39,76.72,89.56,85.89,10,0.46,0,1,3,0.77,0,0,10
59,13058,Class0058,io.core.net,Full Crew (Baseline),100.0,100.0,0,98.93,95.31,100.00,94.18,27,0.13,1,0,0,1.51,0,0,5
60,13059,Class0059,com.data.repo,Full Crew (Baseline),100.0,100.0,0,96.44,90.75,100.00,100.00,17,0.62,0,0,0,1.66,0,0,5
61,13060,Class0060,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,91.40,13,0.21,0,0,1,0.81,0,0,8
62,13061,Class0061,com.example.service,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,91.01,18,0.77,0,0,1,1.46,0,0,6
63,13062,Class0062,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,96.02,99.56,100.00,12,0.41,1,0,0,0.90,0,0,9
64,13063,Class0063,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,22,0.14,0,1,1,0.81,1,0,5
65,13064,Class0064,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,21,0.00,0,0,1,0.00,0,0,6
66,13065,Class0065,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,83.45,79.69,91.53,100.00,17,0.84,0,0,2,0.87,0,0,6
67,13066,Class0066,com.example.service,Full Crew (Baseline),100.0,100.0,0,86.21,84.09,91.25,66.18,12,0.25,0,1,3,0.66,0,0,14
68,13067,Class0067,org.apache.util,Full Crew (Baseline),100.0,100.0,0,99.63,100.00,100.00,100.00,6,0.17,0,0,0,1.81,0,0,7
69,13068,Class0068,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,98.00,100.00,95.54,10,0.29,0,1,1,0.90,1,0,10
70,13069,Class0069,com.data.repo,Full Crew (Baseline),100.0,100.0,0,89.13,80.73,94.44,91.81,22,0.72,0,0,1,1.41,0,0,11
71,13070,Class0070,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,22,0.12,0,0,0,1.86,0,0,5
72,13071,Class0071,com.example.service,Full Crew (Baseline),100.0,100.0,0,93.22,88.08,91.38,95.20,12,0.28,1,0,1,1.96,0,0,13
73,13072,Class0072,org.apache.util,Full Crew (Baseline),100.0,100.0,0,82.56,84.13,95.84,76.86,26,0.63,1,0,1,1.65,0,0,10
74,13073,Class0073,io.core.net,Full Crew (Baseline),100.0,100.0,0,97.98,88.34,100.00,95.59,9,0.66,0,0,2,1.43,0,0,6
75,13074,Class0074,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,10,0.32,0,0,1,0.33,0,0,11
76,13075,Class0075,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,92.17,81.87,93.72,98.16,12,0.49,0,1,3,1.90,0,0,7
77,13076,Class0076,com.example.service,Full Crew (Baseline),100.0,100.0,0,99.73,100.00,100.00,100.00,20,0.35,0,0,1,0.70,0,0,6
78,13077,Class0077,org.apache.util,Full Crew (Baseline),100.0,100.0,0,93.27,96.67,100.00,100.00,17,0.86,2,0,2,1.17,0,0,6
79,13078,Class0078,io.core.net,Full Crew (Baseline),100.0,100.0,0,95.76,80.23,91.78,82.22,7,0.36,0,0,0,2.53,0,0,13
80,13079,Class0079,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,99.61,26,0.09,1,0,2,0.43,0,0,6
81,13080,Class0080,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,90.52,82.76,93.91,95.19,16,0.24,0,0,1,1.72,1,0,14
82,13081,Class0081,com.example.service,Full Crew (Baseline),100.0,100.0,0,96.21,85.52,100.00,90.08,12,0.69,2,0,0,0.61,0,0,8
83,13082,Class0082,org.apache.util,Full Crew (Baseline),100.0,100.0,0,82.97,75.42,89.35,82.03,17,0.38,0,0,2,0.68,0,0,7
84,13083,Class0083,io.core.net,Full Crew (Baseline),100.0,100.0,0,97.52,84.55,99.87,100.00,14,0.00,0,0,0,1.28,0,0,8
85,13084,Class0084,com.data.repo,Full Crew (Baseline),0.0,0.0,5,,,,,17,,,,,,,,
86,13085,Class0085,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,89.28,84.07,100.00,96.58,18,0.57,0,1,3,1.10,2,0,14
87,13086,Class0086,com.example.service,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,97.85,18,0.30,0,0,2,1.31,0,0,6
88,13087,Class0087,org.apache.util,Full Crew (Baseline),100.0,100.0,0,82.87,71.28,86.58,70.58,22,0.61,1,0,1,1.84,1,0,10
89,13088,Class0088,io.core.net,Full Crew (Baseline),100.0,100.0,0,98.42,90.49,98.35,100.00,18,0.07,0,0,1,1.57,0,0,6
90,13089,Class0089,com.data.repo,Full Crew (Baseline),100.0,100.0,0,90.23,90.82,93.64,95.70,14,0.56,0,0,1,1.18,0,0,5
91,13090,Class0090,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,92.26,94.14,100.00,90.87,19,0.46,0,0,1,2.28,0,0,7
92,13091,Class0091,com.example.service,Full Crew (Baseline),100.0,100.0,0,86.77,78.87,88.26,100.00,1,0.24,0,0,0,1.68,0,0,6
93,13092,Class0092,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,22,0.14,0,0,0,0.13,0,0,11
94,13093,Class0093,io.core.net,Full Crew (Baseline),100.0,100.0,0,98.77,89.52,96.78,100.00,23,0.45,0,0,1,1.86,0,0,11
95,13094,Class0094,com.data.repo,Full Crew (Baseline),100.0,100.0,0,87.37,85.08,87.14,84.30,5,0.42,0,0,1,1.57,0,0,10
96,13095,Class0095,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,99.14,100.00,100.00,9,0.47,0,0,0,1.61,0,0,11
97,13096,Class0096,com.example.service,Full Crew (Baseline),100.0,100.0,0,99.10,100.00,93.18,74.48,12,0.34,0,0,1,1.27,0,0,9
98,13097,Class0097,org.apache.util,Full Crew (Baseline),100.0,100.0,0,93.73,92.70,96.93,85.43,18,0.33,0,0,1,0.62,0,0,10
99,13098,Class0098,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,17,0.64,0,0,0,0.96,0,0,7
100,13099,Class0099,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,13,0.04,0,0,2,0.00,0,0,8
101,13100,Class0100,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,96.72,85.98,100.00,100.00,10,0.26,1,0,1,1.69,0,0,10
102,13101,Class0101,com.example.service,Full Crew (Baseline),100.0,100.0,0,93.73,88.22,98.01,81.99,11,0.45,1,0,1,0.98,0,0,6
103,13102,Class0102,org.apache.util,Full Crew (Baseline),100.0,100.0,0,89.77,74.03,99.89,100.00,26,0.33,0,0,2,1.34,0,0,8
104,13103,Class0103,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,91.61,26,0.37,0,0,3,1.55,0,0,8
105,13104,Class0104,com.data.repo,Full Crew (Baseline),100.0,100.0,0,92.71,84.88,93.06,79.25,18,0.63,0,0,1,1.61,2,0,9
106,13105,Class0105,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,91.00,100.00,88.80,18,0.52,0,0,2,0.97,0,0,8
107,13106,Class0106,com.example.service,Full Crew (Baseline),100.0,100.0,0,95.00,86.55,92.60,100.00,18,0.63,0,0,1,2.14,0,0,10
108,13107,Class0107,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,12,0.00,0,0,0,0.81,2,0,8
109,13108,Class0108,io.core.net,Full Crew (Baseline),100.0,100.0,0,92.90,95.69,100.00,100.00,13,0.26,1,0,1,1.05,1,0,6
110,13109,Class0109,com.data.repo,Full Crew (Baseline),100.0,100.0,0,84.56,85.19,93.51,95.02,13,0.34,0,0,1,0.39,0,0,8
111,13110,Class0110,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,97.20,100.00,100.00,14,0.50,0,0,2,0.11,1,0,7
112,13111,Class0111,com.example.service,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,7,0.00,1,0,1,0.00,0,0,7
113,13112,Class0112,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,11,0.00,0,0,1,0.00,0,0,8
114,13113,Class0113,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,96.52,100.00,98.34,19,0.20,0,0,1,1.35,1,0,7
115,13114,Class0114,com.data.repo,Full Crew (Baseline),100.0,100.0,0,89.18,66.94,91.50,80.67,25,0.45,0,0,0,1.76,1,0,7
116,13115,Class0115,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,76.59,73.24,88.01,88.21,13,0.34,0,0,0,1.15,1,0,10
117,13116,Class0116,com.example.service,Full Crew (Baseline),100.0,100.0,0,98.12,91.74,99.02,83.40,11,0.62,0,0,1,1.87,0,0,6
118,13117,Class0117,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,90.43,100.00,96.35,24,0.60,0,0,0,1.27,0,0,13
119,13118,Class0118,io.core.net,Full Crew (Baseline),100.0,100.0,0,81.15,81.43,91.52,83.34,26,0.47,0,1,2,1.65,0,0,8
120,13119,Class0119,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,98.42,9,0.56,0,0,0,0.00,0,0,5
121,13120,Class0120,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,15,0.00,0,0,2,0.00,0,0,9
122,13121,Class0121,com.example.service,Full Crew (Baseline),100.0,100.0,0,85.39,84.02,96.35,92.31,16,0.51,0,0,0,1.70,0,0,5
123,13122,Class0122,org.apache.util,Full Crew (Baseline),100.0,100.0,0,96.40,90.80,100.00,98.93,22,0.39,0,1,0,1.39,0,0,11
124,13123,Class0123,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,16,0.44,0,0,0,0.91,0,0,7
125,13124,Class0124,com.data.repo,Full Crew (Baseline),100.0,100.0,0,97.51,80.14,94.96,100.00,14,0.72,0,0,0,0.71,0,0,10
126,13125,Class0125,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,85.65,80.37,86.42,83.06,8,0.43,2,0,1,0.83,0,0,8
127,13126,Class0126,com.example.service,Full Crew (Baseline),100.0,100.0,0,81.70,71.99,95.29,75.42,26,0.53,0,0,0,2.23,1,0,15
128,13127,Class0127,org.apache.util,Full Crew (Baseline),100.0,100.0,0,93.65,77.94,91.73,79.64,19,0.55,0,0,1,1.06,0,1,6
129,13128,Class0128,io.core.net,Full Crew (Baseline),100.0,100.0,0,93.79,90.89,98.55,89.19,8,0.18,0,0,1,1.33,0,0,8
130,13129,Class0129,com.data.repo,Full Crew (Baseline),0.0,0.0,5,,,,,20,,,,,,,,
131,13130,Class0130,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,99.68,17,0.09,1,0,0,2.25,0,0,5
132,13131,Class0131,com.example.service,Full Crew (Baseline),100.0,100.0,0,97.93,97.32,100.00,91.41,20,0.79,0,0,2,2.80,0,0,9
133,13132,Class0132,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,15,0.30,0,0,1,0.39,1,0,6
134,13133,Class0133,io.core.net,Full Crew (Baseline),100.0,100.0,0,93.99,93.28,94.18,94.36,18,0.26,0,0,1,1.74,0,0,8
135,13134,Class0134,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,93.79,100.00,100.00,12,0.27,1,0,0,1.45,0,0,8
136,13135,Class0135,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,88.44,91.08,95.17,98.52,25,0.25,0,0,1,1.89,0,0,5
137,13136,Class0136,com.example.service,Full Crew (Baseline),100.0,100.0,0,96.13,90.03,98.59,92.38,7,0.55,0,0,1,1.04,0,0,6
138,13137,Class0137,org.apache.util,Full Crew (Baseline),100.0,100.0,0,95.00,95.99,97.71,85.38,8,0.55,0,1,0,1.82,0,0,13
139,13138,Class0138,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,97.58,100.00,81.10,9,0.41,0,0,2,0.00,0,0,6
140,13139,Class0139,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,94.20,99.29,100.00,12,0.55,1,0,2,1.40,0,0,7
141,13140,Class0140,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,92.07,85.10,97.24,80.25,19,0.52,1,0,1,1.29,1,0,5
142,13141,Class0141,com.example.service,Full Crew (Baseline),100.0,100.0,0,89.99,89.97,95.55,84.63,13,0.90,1,0,2,1.98,0,0,9
143,13142,Class0142,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,92.48,100.00,92.86,8,0.00,0,0,0,0.37,0,0,8
144,13143,Class0143,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,96.39,97.85,92.26,16,0.42,0,0,1,1.01,0,0,9
145,13144,Class0144,com.data.repo,Full Crew (Baseline),100.0,100.0,0,99.58,98.95,100.00,100.00,13,0.57,1,1,1,1.45,0,1,7
146,13145,Class0145,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,85.85,91.47,94.84,85.75,19,0.75,0,0,2,1.40,0,0,9
147,13146,Class0146,com.example.service,Full Crew (Baseline),100.0,100.0,0,92.39,97.55,99.46,91.48,19,0.56,0,0,0,0.76,1,0,9
148,13147,Class0147,org.apache.util,Full Crew (Baseline),100.0,100.0,0,80.32,72.86,83.59,74.88,22,0.93,1,0,0,1.09,0,0,6
149,13148,Class0148,io.core.net,Full Crew (Baseline),100.0,100.0,0,99.34,87.06,94.80,100.00,1,0.44,0,0,0,1.25,0,0,6
150,13149,Class0149,com.data.repo,Full Crew (Baseline),100.0,100.0,0,91.88,92.70,100.00,100.00,13,0.63,1,0,0,0.96,1,0,8
151,13150,Class0150,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,13,0.37,0,0,0,1.59,0,0,11
152,13151,Class0151,com.example.service,Full Crew (Baseline),100.0,100.0,0,90.71,94.77,100.00,100.00,21,0.40,0,0,3,1.80,0,0,11
153,13152,Class0152,org.apache.util,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,6,0.08,0,0,1,1.27,0,0,10
154,13153,Class0153,io.core.net,Full Crew (Baseline),100.0,100.0,0,91.84,91.17,97.79,85.01,7,0.02,0,0,0,1.26,0,0,9
155,13154,Class0154,com.data.repo,Full Crew (Baseline),100.0,100.0,0,97.20,90.07,100.00,72.09,12,0.71,1,1,0,2.54,0,0,6
156,13155,Class0155,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,81.92,77.77,95.70,87.99,19,0.63,0,0,0,2.20,1,0,11
157,13156,Class0156,com.example.service,Full Crew (Baseline),100.0,100.0,0,80.31,79.61,96.53,100.00,23,0.72,0,0,1,1.09,0,0,10
158,13157,Class0157,org.apache.util,Full Crew (Baseline),100.0,100.0,0,86.45,76.95,91.84,81.78,18,0.51,0,0,0,1.78,1,0,8
159,13158,Class0158,io.core.net,Full Crew (Baseline),100.0,100.0,0,95.79,89.87,100.00,100.00,10,0.37,0,0,2,0.93,0,0,13
160,13159,Class0159,com.data.repo,Full Crew (Baseline),100.0,100.0,0,100.00,95.37,100.00,97.88,7,0.46,0,0,4,0.91,0,0,10
161,13160,Class0160,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,89.66,78.07,91.74,75.81,7,0.35,0,0,2,0.84,0,0,6
162,13161,Class0161,com.example.service,Full Crew (Baseline),100.0,100.0,0,97.87,89.35,100.00,94.16,23,0.48,1,0,1,0.90,0,0,6
163,13162,Class0162,org.apache.util,Full Crew (Baseline),100.0,100.0,0,96.80,96.91,99.44,91.29,11,0.24,0,0,0,0.20,1,0,7
164,13163,Class0163,io.core.net,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,8,0.17,0,0,1,1.05,0,0,8
165,13164,Class0164,com.data.repo,Full Crew (Baseline),100.0,100.0,0,99.54,96.10,100.00,100.00,25,0.23,0,0,2,1.62,0,0,10
166,13165,Class0165,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,97.00,87.09,100.00,100.00,24,0.45,0,0,3,1.47,0,0,8
167,13166,Class0166,com.example.service,Full Crew (Baseline),100.0,100.0,0,86.35,85.78,87.79,86.02,14,0.67,0,0,2,1.27,0,0,6
168,13167,Class0167,org.apache.util,Full Crew (Baseline),100.0,100.0,0,82.40,71.32,85.90,76.67,23,0.18,0,0,1,1.58,0,0,7
169,13168,Class0168,io.core.net,Full Crew (Baseline),100.0,100.0,0,89.33,84.32,90.12,66.96,15,0.73,1,0,1,2.23,0,0,6
170,13169,Class0169,com.data.repo,Full Crew (Baseline),100.0,100.0,0,91.82,89.44,94.19,86.01,17,0.22,0,0,0,1.54,0,0,7
171,13170,Class0170,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,19,0.11,0,0,2,0.88,0,0,14
172,13171,Class0171,com.example.service,Full Crew (Baseline),100.0,100.0,0,91.08,91.16,96.50,94.66,26,0.68,1,0,0,0.87,1,0,7
173,13172,Class0172,org.apache.util,Full Crew (Baseline),100.0,100.0,0,99.46,88.01,93.79,86.63,13,0.33,1,0,0,0.70,0,0,9
174,13173,Class0173,io.core.net,Full Crew (Baseline),100.0,100.0,0,83.02,63.30,85.10,72.13,10,0.58,1,0,0,1.73,0,0,6
175,13174,Class0174,com.data.repo,Full Crew (Baseline),100.0,100.0,0,92.40,91.17,91.93,95.23,7,0.73,1,1,0,1.51,0,0,8
176,13175,Class0175,org.adbcj.mysql.codec,Full Crew (Baseline),100.0,100.0,0,100.00,100.00,100.00,100.00,13,0.09,1,0,0,0.00,0,0,12
