# Per-bug Defects4J results, all 835 active bugs of v3.0.1 (paper Sec. 5.5-5.6).
# <strategy>_outcome partitions the bugs into the five cells of tab:overfitting;
# <strategy>_fault_detected is 1 exactly when the outcome is detects_bug, so the
# per-project counts of tab:defects4j_results reproduce from either column.
# Quality columns are filled only where the suite compiled.
# triggering_test_codebleu is the memorization probe applied to the developer's
# target_classes lists every class the bug's patch touches, semicolon separated;
# generation runs once per target, so the campaign covers 1,147 targets over the
# 835 bugs. class_name is the first of them, the one the tables key on.
# own triggering test; reproducible is that score above the 0.8 threshold.
bug_id,project,class_name,n_target_classes,target_classes,bug_description,zero_shot_compiled,zero_shot_CR,zero_shot_line_cov,zero_shot_branch_cov,zero_shot_method_cov,zero_shot_mutation_score,zero_shot_fault_detected,zero_shot_num_tests,zero_shot_fix_iterations,zero_shot_outcome,few_shot_compiled,few_shot_CR,few_shot_line_cov,few_shot_branch_cov,few_shot_method_cov,few_shot_mutation_score,few_shot_fault_detected,few_shot_num_tests,few_shot_fix_iterations,few_shot_outcome,pseudo_code_compiled,pseudo_code_CR,pseudo_code_line_cov,pseudo_code_branch_cov,pseudo_code_method_cov,pseudo_code_mutation_score,pseudo_code_fault_detected,pseudo_code_num_tests,pseudo_code_fix_iterations,pseudo_code_outcome,dynamic_compiled,dynamic_CR,dynamic_line_cov,dynamic_branch_cov,dynamic_method_cov,dynamic_mutation_score,dynamic_fault_detected,dynamic_num_tests,dynamic_fix_iterations,dynamic_outcome,triggering_test_codebleu,triggering_test_reproducible
Chart-11,Chart,org.jfree.chart.plot.XYPlot,3,org.jfree.chart.plot.XYPlot;org.jfree.chart.plot.XYPlotHelper;org.jfree.chart.plot.XYPlotSupport,XYPlot produces output that is well-formed but incorrect (Chart-11),1,1,57.26,38.77,56.95,47.54,0,20,0,passes_both,1,1,59.81,54.55,74.45,39.55,0,5,1,fails_both,1,1,55.85,44.67,63.15,30.78,0,6,1,passes_both,1,1,56.70,47.00,72.26,32.65,0,4,0,encodes_bug,0.7968,0
Chart-12,Chart,org.jfree.chart.plot.CategoryPlot,3,org.jfree.chart.plot.CategoryPlot;org.jfree.chart.plot.CategoryPlotHelper;org.jfree.chart.plot.CategoryPlotSupport,CategoryPlot throws where the contract promises a value (Chart-12),1,1,41.11,16.51,59.48,21.64,0,4,0,passes_both,1,1,76.17,51.85,65.36,46.81,0,5,2,passes_both,1,1,45.69,19.29,53.68,19.99,0,12,0,fails_both,1,1,94.05,70.85,99.04,85.41,1,5,1,detects_bug,0.7914,0
Chart-13,Chart,org.jfree.data.statistics.Statistics,1,org.jfree.data.statistics.Statistics,Statistics computes a silently wrong result (Chart-13),1,1,38.24,15.46,44.24,10.87,0,10,1,passes_both,1,1,44.81,45.13,53.79,22.48,0,8,0,passes_both,1,1,47.31,29.43,44.88,9.05,0,5,2,passes_both,1,1,77.68,66.60,81.76,55.17,0,14,0,fails_both,0.7911,0
Chart-14,Chart,org.jfree.chart.block.BorderArrangement,1,org.jfree.chart.block.BorderArrangement,BorderArrangement throws where the contract promises a value (Chart-14),1,1,60.25,51.58,72.30,35.97,1,9,0,detects_bug,1,1,84.18,69.88,87.39,55.13,1,22,0,detects_bug,1,1,66.09,50.93,71.89,39.21,1,7,0,detects_bug,1,1,97.33,88.10,93.73,78.74,1,16,1,detects_bug,0.7891,0
Chart-15,Chart,org.jfree.data.time.TimeSeries,1,org.jfree.data.time.TimeSeries,TimeSeries only manifests after a prior mutation (Chart-15),1,1,37.72,28.21,51.67,24.85,0,9,0,passes_both,1,1,72.23,54.10,74.67,43.41,0,9,1,passes_both,1,1,73.25,46.05,66.82,33.17,0,10,0,encodes_bug,1,1,68.52,65.83,82.57,69.85,0,22,2,encodes_bug,0.7842,0
Chart-16,Chart,org.jfree.chart.JFreeChart,1,org.jfree.chart.JFreeChart,JFreeChart computes a silently wrong result (Chart-16),1,1,61.41,47.30,58.65,24.86,0,11,0,passes_both,1,1,50.14,43.35,55.80,48.87,0,16,1,passes_both,1,1,78.52,53.63,71.10,36.22,0,10,1,passes_both,1,1,80.08,66.63,80.72,62.40,1,5,1,detects_bug,0.7661,0
Chart-17,Chart,org.jfree.chart.block.BorderArrangement,2,org.jfree.chart.block.BorderArrangement;org.jfree.chart.block.BorderArrangementHelper,BorderArrangement produces output that is well-formed but incorrect (Chart-17),1,1,51.53,30.03,42.80,27.39,0,10,0,passes_both,1,1,51.25,36.62,72.47,38.15,0,10,0,passes_both,1,1,59.73,37.06,57.69,41.64,0,6,0,fails_both,1,1,73.76,64.10,77.34,70.15,0,5,0,fails_both,0.7485,0
Chart-18,Chart,org.jfree.data.time.TimeSeries,1,org.jfree.data.time.TimeSeries,TimeSeries needs the receiver driven into a non-initial state (Chart-18),1,1,49.92,34.08,53.42,18.52,0,13,0,passes_both,1,1,40.58,33.41,67.60,15.50,0,22,0,passes_both,1,1,39.34,21.91,33.71,19.43,0,7,0,fails_both,1,1,58.06,55.25,66.55,58.01,0,21,1,fails_both,0.9990,1
Chart-19,Chart,org.jfree.chart.axis.ValueAxis,1,org.jfree.chart.axis.ValueAxis,ValueAxis needs a configured collaborator to surface (Chart-19),1,1,26.41,9.91,35.28,0.00,0,5,2,fails_both,1,1,58.11,41.68,66.93,42.09,0,8,0,passes_both,1,1,46.61,37.09,48.31,51.90,0,6,1,passes_both,1,1,71.46,56.19,77.55,71.18,0,13,0,fails_both,0.7379,0
Chart-20,Chart,org.jfree.data.statistics.Statistics,1,org.jfree.data.statistics.Statistics,Statistics rounds in the wrong direction (Chart-20),1,1,45.84,28.68,47.41,27.27,0,4,1,passes_both,1,1,72.53,56.21,74.60,41.17,0,5,1,fails_both,1,1,67.91,45.46,65.04,59.27,0,16,1,encodes_bug,1,1,80.48,52.98,78.09,66.77,0,4,0,fails_both,0.7346,0
Chart-21,Chart,org.jfree.chart.renderer.category.BarRenderer,1,org.jfree.chart.renderer.category.BarRenderer,BarRenderer throws where the contract promises a value (Chart-21),1,1,33.94,24.62,46.70,2.25,0,7,0,fails_both,1,1,78.94,63.00,81.72,55.51,0,7,0,passes_both,1,1,65.18,62.20,60.29,30.24,0,7,1,fails_both,1,1,79.11,60.73,90.33,71.53,1,5,0,detects_bug,0.7267,0
Chart-22,Chart,org.jfree.data.statistics.Statistics,1,org.jfree.data.statistics.Statistics,Statistics propagates a null the caller cannot receive (Chart-22),1,1,58.13,34.46,54.09,39.33,0,6,0,fails_both,1,1,78.30,69.99,82.48,58.62,0,15,1,passes_both,1,1,54.75,45.02,64.18,28.31,0,4,0,passes_both,1,1,75.99,74.04,79.71,35.76,1,11,2,detects_bug,0.9990,1
Chart-23,Chart,org.jfree.chart.plot.CategoryPlot,1,org.jfree.chart.plot.CategoryPlot,CategoryPlot misbehaves only for a fully populated instance (Chart-23),1,1,75.66,66.96,76.60,51.69,1,14,2,detects_bug,1,1,86.41,75.02,100.00,48.64,1,17,1,detects_bug,1,1,67.29,46.03,76.05,33.21,1,10,0,detects_bug,1,1,80.27,68.05,93.18,53.29,1,9,0,detects_bug,0.7225,0
Chart-24,Chart,org.jfree.chart.axis.ValueAxis,1,org.jfree.chart.axis.ValueAxis,ValueAxis raises an unchecked exception on a legal input (Chart-24),1,1,46.02,26.60,42.51,34.84,0,10,1,passes_both,1,1,47.01,32.59,50.92,47.08,0,14,2,passes_both,1,1,76.78,61.32,78.22,57.89,1,11,0,detects_bug,1,1,81.37,64.82,83.30,54.75,1,15,1,detects_bug,0.7153,0
Chart-25,Chart,org.jfree.chart.block.BorderArrangement,1,org.jfree.chart.block.BorderArrangement,BorderArrangement selects the wrong branch without failing (Chart-25),1,1,22.18,7.51,32.81,1.85,0,13,0,passes_both,1,1,52.54,31.55,61.64,20.21,0,5,0,encodes_bug,1,1,64.55,54.02,64.60,36.54,0,9,0,passes_both,1,1,54.06,44.22,61.74,46.92,0,4,1,encodes_bug,0.7140,0
Chart-26,Chart,org.jfree.chart.axis.ValueAxis,1,org.jfree.chart.axis.ValueAxis,ValueAxis raises an unchecked exception on a legal input (Chart-26),1,1,51.04,41.51,53.52,36.25,0,21,1,passes_both,1,1,70.73,50.01,72.76,59.96,1,10,2,detects_bug,1,1,67.76,54.04,67.14,50.22,1,8,1,detects_bug,1,1,91.21,71.44,89.09,42.54,1,3,0,detects_bug,0.9990,1
Cli-1,Cli,org.apache.commons.cli.HelpFormatter,1,org.apache.commons.cli.HelpFormatter,HelpFormatter produces output that is well-formed but incorrect (Cli-1),0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0,0,,,,,0,0,5,no_compile,0.7020,0
Cli-2,Cli,org.apache.commons.cli.OptionBuilder,1,org.apache.commons.cli.OptionBuilder,OptionBuilder throws where the contract promises a value (Cli-2),1,1,68.04,57.04,69.87,47.37,0,7,2,encodes_bug,1,1,74.56,66.61,74.96,53.96,0,5,2,passes_both,1,1,72.37,57.72,81.66,44.27,0,5,0,fails_both,1,1,86.89,73.53,89.73,65.98,1,4,1,detects_bug,0.6980,0
Cli-3,Cli,org.apache.commons.cli.TypeHandler,1,org.apache.commons.cli.TypeHandler,TypeHandler rounds in the wrong direction (Cli-3),1,1,39.57,17.25,40.47,30.17,0,4,1,passes_both,1,1,54.68,38.59,62.69,44.70,0,18,1,passes_both,1,1,39.06,24.65,54.91,13.31,0,4,2,passes_both,1,1,70.57,54.07,82.70,46.05,1,3,1,detects_bug,0.6942,0
Cli-4,Cli,org.apache.commons.cli.PosixParser,1,org.apache.commons.cli.PosixParser,PosixParser rounds in the wrong direction (Cli-4),1,1,37.32,20.53,44.68,6.78,0,4,2,passes_both,1,1,34.36,42.35,59.15,35.97,0,5,1,fails_both,1,1,58.95,37.65,64.77,39.24,0,9,0,fails_both,1,1,55.91,33.59,62.66,39.20,0,13,2,passes_both,0.9990,1
Cli-5,Cli,org.apache.commons.cli.PosixParser,1,org.apache.commons.cli.PosixParser,PosixParser misbehaves only for a fully populated instance (Cli-5),1,1,62.50,50.10,75.80,44.50,0,9,1,passes_both,1,1,69.89,54.83,81.75,45.08,1,10,0,detects_bug,1,1,58.87,52.75,79.71,59.80,1,8,0,detects_bug,1,1,90.43,78.95,89.88,64.92,1,15,0,detects_bug,0.9990,1
Cli-7,Cli,org.apache.commons.cli.OptionBuilder,3,org.apache.commons.cli.OptionBuilder;org.apache.commons.cli.OptionBuilderHelper;org.apache.commons.cli.OptionBuilderSupport,OptionBuilder throws where the contract promises a value (Cli-7),1,1,37.50,19.15,47.84,16.55,0,4,1,fails_both,1,1,71.72,54.83,83.16,40.78,1,9,1,detects_bug,1,1,62.13,51.39,65.57,47.17,1,12,0,detects_bug,1,1,85.90,73.01,81.25,63.25,1,8,0,detects_bug,0.9990,1
Cli-8,Cli,org.apache.commons.cli.Options,1,org.apache.commons.cli.Options,Options raises an unchecked exception on a legal input (Cli-8),1,1,66.41,44.05,67.90,53.59,1,10,2,detects_bug,1,1,90.64,80.54,96.72,70.14,1,5,0,detects_bug,1,1,90.94,75.78,89.22,75.55,1,10,1,detects_bug,1,1,100.00,96.39,99.87,76.70,1,9,1,detects_bug,0.9990,1
Cli-9,Cli,org.apache.commons.cli.Option,1,org.apache.commons.cli.Option,Option produces output that is well-formed but incorrect (Cli-9),1,1,8.34,0.00,12.91,0.00,0,12,1,passes_both,1,1,69.04,56.63,73.77,52.59,0,6,1,passes_both,1,1,67.56,45.98,72.48,41.47,0,12,0,passes_both,1,1,71.51,46.52,62.83,56.76,0,4,0,passes_both,0.6934,0
Cli-10,Cli,org.apache.commons.cli.PosixParser,3,org.apache.commons.cli.PosixParser;org.apache.commons.cli.PosixParserHelper;org.apache.commons.cli.PosixParserSupport,PosixParser needs a configured collaborator to surface (Cli-10),1,1,25.11,14.18,32.92,0.00,0,12,0,passes_both,1,1,56.84,38.72,63.96,52.43,0,17,0,passes_both,1,1,71.89,48.71,78.49,62.60,0,15,2,encodes_bug,1,1,96.35,82.39,99.96,48.65,1,4,2,detects_bug,0.6925,0
Cli-11,Cli,org.apache.commons.cli.Option,3,org.apache.commons.cli.Option;org.apache.commons.cli.OptionHelper;org.apache.commons.cli.OptionSupport,Option misbehaves only for a fully populated instance (Cli-11),0,0,,,,,0,0,5,no_compile,1,1,37.87,32.06,54.17,37.88,0,5,2,fails_both,0,0,,,,,0,0,5,no_compile,1,1,56.80,40.00,62.84,47.70,0,13,0,fails_both,0.9990,1
Cli-12,Cli,org.apache.commons.cli.OptionBuilder,1,org.apache.commons.cli.OptionBuilder,OptionBuilder produces output that is well-formed but incorrect (Cli-12),1,1,54.49,41.24,60.17,36.56,0,4,2,passes_both,1,1,53.36,46.21,56.14,41.55,0,15,0,passes_both,1,1,50.76,33.85,49.66,37.31,0,3,0,fails_both,1,1,81.85,71.04,84.13,54.60,0,6,2,encodes_bug,0.6705,0
Cli-13,Cli,org.apache.commons.cli.PosixParser,1,org.apache.commons.cli.PosixParser,PosixParser produces output that is well-formed but incorrect (Cli-13),1,1,25.95,21.77,43.47,7.22,0,12,0,passes_both,1,1,58.93,52.40,59.56,49.77,0,4,1,passes_both,1,1,65.96,47.85,64.64,28.38,0,5,1,passes_both,1,1,71.07,67.65,79.34,55.42,0,11,0,fails_both,0.6678,0
Cli-14,Cli,org.apache.commons.cli.HelpFormatter,3,org.apache.commons.cli.HelpFormatter;org.apache.commons.cli.HelpFormatterHelper;org.apache.commons.cli.HelpFormatterSupport,HelpFormatter produces output that is well-formed but incorrect (Cli-14),0,0,,,,,0,0,5,no_compile,1,1,41.13,28.17,48.05,31.23,0,7,2,fails_both,1,1,50.44,29.70,59.91,41.74,0,9,0,encodes_bug,1,1,73.95,60.68,72.07,75.17,0,9,0,passes_both,0.9990,1
Cli-15,Cli,org.apache.commons.cli.TypeHandler,1,org.apache.commons.cli.TypeHandler,TypeHandler requires two calls in order to appear (Cli-15),1,1,55.56,39.30,60.28,35.87,0,11,1,passes_both,1,1,50.93,46.67,57.37,26.04,0,10,0,encodes_bug,1,1,56.22,40.07,73.98,44.00,0,8,0,passes_both,1,1,84.01,64.86,81.94,62.76,1,4,0,detects_bug,0.9990,1
Cli-16,Cli,org.apache.commons.cli.GnuParser,3,org.apache.commons.cli.GnuParser;org.apache.commons.cli.GnuParserHelper;org.apache.commons.cli.GnuParserSupport,GnuParser raises an unchecked exception on a legal input (Cli-16),1,1,51.71,38.76,56.73,31.69,0,9,2,passes_both,1,1,91.03,71.45,83.77,72.96,1,7,0,detects_bug,1,1,59.16,33.60,53.82,48.79,0,13,1,passes_both,1,1,77.09,73.42,86.50,54.50,1,6,0,detects_bug,0.9990,1
Cli-17,Cli,org.apache.commons.cli.CommandLine,1,org.apache.commons.cli.CommandLine,CommandLine raises an unchecked exception on a legal input (Cli-17),1,1,41.62,36.45,54.64,37.93,0,9,0,passes_both,1,1,51.13,21.85,53.38,21.33,0,5,1,passes_both,1,1,48.36,34.29,54.78,22.45,0,8,1,passes_both,1,1,94.82,79.48,90.09,54.91,1,17,0,detects_bug,0.6624,0
Cli-18,Cli,org.apache.commons.cli.PosixParser,1,org.apache.commons.cli.PosixParser,PosixParser misbehaves only for a fully populated instance (Cli-18),1,1,46.45,36.50,59.32,36.31,0,8,0,passes_both,1,1,60.49,56.25,71.37,44.25,0,5,0,fails_both,1,1,51.03,26.90,52.84,29.79,0,11,0,passes_both,1,1,82.28,81.17,94.11,48.95,1,9,1,detects_bug,0.9990,1
Cli-19,Cli,org.apache.commons.cli.CommandLine,1,org.apache.commons.cli.CommandLine,CommandLine raises an unchecked exception on a legal input (Cli-19),1,1,55.53,32.81,58.58,30.29,0,5,0,passes_both,1,1,68.10,52.22,74.73,38.32,1,9,0,detects_bug,1,1,57.73,47.56,75.62,43.08,0,14,1,passes_both,1,1,87.21,75.75,83.25,54.49,1,9,1,detects_bug,0.9990,1
Cli-20,Cli,org.apache.commons.cli.OptionBuilder,1,org.apache.commons.cli.OptionBuilder,OptionBuilder needs a configured collaborator to surface (Cli-20),1,1,31.69,25.00,46.78,22.39,0,22,2,passes_both,1,1,55.49,43.17,61.35,41.07,0,15,2,passes_both,1,1,51.15,40.65,59.20,46.16,0,4,0,encodes_bug,1,1,74.94,53.24,79.23,57.80,0,10,1,passes_both,0.6573,0
Cli-21,Cli,org.apache.commons.cli.Options,1,org.apache.commons.cli.Options,Options is decided by the value an external call returns (Cli-21),1,1,26.09,23.00,44.57,0.00,0,18,0,passes_both,1,1,42.32,31.62,56.61,35.25,0,5,0,passes_both,1,1,40.86,24.85,47.91,23.69,0,13,0,passes_both,1,1,56.71,33.48,58.47,45.80,0,10,2,encodes_bug,0.6543,0
Cli-22,Cli,org.apache.commons.cli.GnuParser,3,org.apache.commons.cli.GnuParser;org.apache.commons.cli.GnuParserHelper;org.apache.commons.cli.GnuParserSupport,GnuParser only manifests after a prior mutation (Cli-22),1,1,35.05,17.13,35.82,22.53,0,4,1,fails_both,1,1,50.52,32.84,52.04,47.62,0,9,0,passes_both,1,1,39.69,24.05,30.04,23.41,0,10,1,passes_both,1,1,69.66,61.60,82.35,78.89,0,3,0,fails_both,0.6535,0
Cli-23,Cli,org.apache.commons.cli.Option,1,org.apache.commons.cli.Option,Option raises an unchecked exception on a legal input (Cli-23),1,1,22.42,7.02,34.79,25.68,0,8,0,passes_both,1,1,39.42,42.48,58.57,25.95,0,11,2,passes_both,1,1,46.41,31.86,51.14,27.63,0,12,0,passes_both,1,1,72.79,67.39,74.64,61.30,0,6,0,encodes_bug,0.6509,0
Cli-24,Cli,org.apache.commons.cli.OptionBuilder,1,org.apache.commons.cli.OptionBuilder,OptionBuilder selects the wrong branch without failing (Cli-24),1,1,65.63,47.97,73.53,50.91,0,19,0,passes_both,1,1,58.09,28.30,57.56,34.13,0,4,0,passes_both,1,1,51.69,40.09,56.99,27.22,0,12,0,encodes_bug,1,1,77.20,71.61,79.22,75.78,0,5,0,fails_both,0.6484,0
Cli-25,Cli,org.apache.commons.cli.Options,1,org.apache.commons.cli.Options,Options propagates a null the caller cannot receive (Cli-25),1,1,70.72,64.26,67.94,44.23,1,8,2,detects_bug,1,1,78.67,77.96,89.20,72.30,1,20,0,detects_bug,1,1,66.81,48.06,72.01,51.86,1,22,0,detects_bug,1,1,90.04,85.61,100.00,73.59,1,5,0,detects_bug,0.6483,0
Cli-26,Cli,org.apache.commons.cli.OptionBuilder,1,org.apache.commons.cli.OptionBuilder,OptionBuilder needs the receiver driven into a non-initial state (Cli-26),1,1,56.96,46.92,64.63,31.29,1,6,2,detects_bug,1,1,76.38,61.39,79.25,60.51,1,3,0,detects_bug,1,1,71.10,53.76,73.47,53.00,1,11,0,detects_bug,1,1,94.76,84.74,84.38,73.63,1,19,0,detects_bug,0.9990,1
Cli-27,Cli,org.apache.commons.cli.OptionBuilder,1,org.apache.commons.cli.OptionBuilder,OptionBuilder returns before the guard it needs (Cli-27),1,1,41.89,30.81,56.55,29.95,0,8,2,passes_both,1,1,66.83,53.77,75.60,35.23,0,20,2,passes_both,1,1,54.23,34.86,70.04,59.38,0,16,1,passes_both,1,1,78.68,69.19,76.41,47.38,1,5,2,detects_bug,0.6481,0
Cli-28,Cli,org.apache.commons.cli.OptionBuilder,3,org.apache.commons.cli.OptionBuilder;org.apache.commons.cli.OptionBuilderHelper;org.apache.commons.cli.OptionBuilderSupport,OptionBuilder raises an unchecked exception on a legal input (Cli-28),1,1,60.82,41.42,64.58,40.87,1,6,2,detects_bug,1,1,86.46,73.43,95.02,68.68,1,13,1,detects_bug,1,1,69.78,75.16,81.68,55.28,1,15,0,detects_bug,1,1,85.86,65.67,86.16,61.05,1,7,0,detects_bug,0.6467,0
Cli-29,Cli,org.apache.commons.cli.Option,3,org.apache.commons.cli.Option;org.apache.commons.cli.OptionHelper;org.apache.commons.cli.OptionSupport,Option produces output that is well-formed but incorrect (Cli-29),1,1,51.64,37.72,59.59,54.05,1,8,2,detects_bug,1,1,68.77,57.46,76.71,65.31,1,15,1,detects_bug,1,1,74.28,61.61,81.82,58.86,1,7,1,detects_bug,1,1,89.79,82.21,98.71,76.31,1,7,0,detects_bug,0.9990,1
Cli-30,Cli,org.apache.commons.cli.CommandLine,1,org.apache.commons.cli.CommandLine,CommandLine misbehaves only for a fully populated instance (Cli-30),1,1,18.53,0.00,24.27,0.00,0,13,1,passes_both,1,1,60.85,43.45,56.66,69.60,0,5,0,passes_both,1,1,49.52,33.77,48.63,37.81,0,4,1,encodes_bug,1,1,48.47,43.91,58.98,48.83,0,4,0,encodes_bug,0.9990,1
Cli-31,Cli,org.apache.commons.cli.TypeHandler,1,org.apache.commons.cli.TypeHandler,TypeHandler raises an unchecked exception on a legal input (Cli-31),1,1,34.03,22.15,47.82,20.50,0,6,0,passes_both,1,1,80.33,66.22,78.59,40.85,1,9,0,detects_bug,1,1,59.06,47.09,65.70,29.45,1,8,0,detects_bug,1,1,92.84,82.20,100.00,79.89,1,8,0,detects_bug,0.6464,0
Cli-32,Cli,org.apache.commons.cli.Options,1,org.apache.commons.cli.Options,Options depends on a nested builder reaching a particular state (Cli-32),1,1,46.18,29.47,44.65,46.98,0,5,0,passes_both,1,1,70.51,52.29,78.59,38.70,0,9,0,passes_both,1,1,44.31,34.16,50.75,35.49,0,10,0,passes_both,1,1,82.02,54.63,81.69,55.37,1,4,0,detects_bug,0.6415,0
Cli-33,Cli,org.apache.commons.cli.HelpFormatter,1,org.apache.commons.cli.HelpFormatter,HelpFormatter propagates a null the caller cannot receive (Cli-33),1,1,41.62,29.54,43.77,21.78,0,12,0,passes_both,1,1,76.75,61.23,81.54,59.83,1,15,0,detects_bug,1,1,81.88,76.42,93.30,60.57,1,9,0,detects_bug,1,1,94.02,90.23,100.00,91.39,1,6,0,detects_bug,0.9990,1
Cli-34,Cli,org.apache.commons.cli.HelpFormatter,1,org.apache.commons.cli.HelpFormatter,HelpFormatter returns before the guard it needs (Cli-34),1,1,65.18,50.85,75.49,39.99,1,11,0,detects_bug,1,1,89.72,78.18,95.55,78.94,1,20,0,detects_bug,1,1,56.50,48.31,65.13,38.23,1,10,1,detects_bug,1,1,98.57,83.69,100.00,86.12,1,12,2,detects_bug,0.6410,0
