# Per-bug fault-category labels for all 835 Defects4J bugs (paper Sec. 4.5, tab:undetected_faults).
# detected_by_dynamic and dynamic_outcome are copied from defects4j_per_bug_results.csv so the
# two files cannot drift apart. 200 of the 450 bugs the dynamic strategy did not detect were
# labelled independently by two authors (Cohen's kappa = 0.78); the 29 discordant cases are in
# annotation_disagreements.csv. The rest carry rule-based labels derived from those.
bug_id,project,class_name,detected_by_dynamic,dynamic_outcome,category,ripr_condition,label_source,annotator_a,annotator_b
Chart-18,Chart,org.jfree.data.time.TimeSeries,0,fails_both,State-Dependent Call Sequences,infection,rule-based,,
Chart-19,Chart,org.jfree.chart.axis.ValueAxis,0,fails_both,Complex Object Construction,reachability,rule-based,,
Chart-20,Chart,org.jfree.data.statistics.Statistics,0,fails_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Chart-21,Chart,org.jfree.chart.renderer.category.BarRenderer,1,detects_bug,No structural obstacle,-,rule-based,,
Chart-22,Chart,org.jfree.data.statistics.Statistics,1,detects_bug,No structural obstacle,-,rule-based,,
Chart-23,Chart,org.jfree.chart.plot.CategoryPlot,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Chart-24,Chart,org.jfree.chart.axis.ValueAxis,1,detects_bug,No structural obstacle,-,rule-based,,
Chart-25,Chart,org.jfree.chart.block.BorderArrangement,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Chart-26,Chart,org.jfree.chart.axis.ValueAxis,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-1,Cli,org.apache.commons.cli.HelpFormatter,0,no_compile,Absent Automated Oracle,revealability,rule-based,,
Cli-2,Cli,org.apache.commons.cli.OptionBuilder,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-3,Cli,org.apache.commons.cli.TypeHandler,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Cli-4,Cli,org.apache.commons.cli.PosixParser,0,passes_both,Absent Automated Oracle,revealability,rule-based,,
Cli-5,Cli,org.apache.commons.cli.PosixParser,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Cli-7,Cli,org.apache.commons.cli.OptionBuilder,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-8,Cli,org.apache.commons.cli.Options,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-9,Cli,org.apache.commons.cli.Option,0,passes_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Cli-10,Cli,org.apache.commons.cli.PosixParser,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Cli-11,Cli,org.apache.commons.cli.Option,0,fails_both,Complex Object Construction,reachability,rule-based,,
Cli-12,Cli,org.apache.commons.cli.OptionBuilder,0,encodes_bug,Absent Automated Oracle,revealability,rule-based,,
Cli-13,Cli,org.apache.commons.cli.PosixParser,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
Cli-14,Cli,org.apache.commons.cli.HelpFormatter,0,passes_both,Absent Automated Oracle,revealability,rule-based,,
Cli-15,Cli,org.apache.commons.cli.TypeHandler,1,detects_bug,State-Dependent Call Sequences,infection,rule-based,,
Cli-16,Cli,org.apache.commons.cli.GnuParser,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-17,Cli,org.apache.commons.cli.CommandLine,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-18,Cli,org.apache.commons.cli.PosixParser,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Cli-19,Cli,org.apache.commons.cli.CommandLine,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-20,Cli,org.apache.commons.cli.OptionBuilder,0,passes_both,Complex Object Construction,reachability,rule-based,,
Cli-21,Cli,org.apache.commons.cli.Options,0,encodes_bug,Environment and External-Call Dependence,reachability,manual,Environment and External-Call Dependence,Environment and External-Call Dependence
Cli-22,Cli,org.apache.commons.cli.GnuParser,0,fails_both,State-Dependent Call Sequences,infection,manual,State-Dependent Call Sequences,Absent Automated Oracle
Cli-23,Cli,org.apache.commons.cli.Option,0,encodes_bug,No structural obstacle,-,manual,No structural obstacle,No structural obstacle
Cli-24,Cli,org.apache.commons.cli.OptionBuilder,0,fails_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Cli-25,Cli,org.apache.commons.cli.Options,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-26,Cli,org.apache.commons.cli.OptionBuilder,1,detects_bug,State-Dependent Call Sequences,infection,rule-based,,
Cli-27,Cli,org.apache.commons.cli.OptionBuilder,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-28,Cli,org.apache.commons.cli.OptionBuilder,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-29,Cli,org.apache.commons.cli.Option,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Cli-30,Cli,org.apache.commons.cli.CommandLine,0,encodes_bug,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Cli-31,Cli,org.apache.commons.cli.TypeHandler,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-32,Cli,org.apache.commons.cli.Options,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Cli-33,Cli,org.apache.commons.cli.HelpFormatter,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-34,Cli,org.apache.commons.cli.HelpFormatter,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-35,Cli,org.apache.commons.cli.PosixParser,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-36,Cli,org.apache.commons.cli.TypeHandler,1,detects_bug,No structural obstacle,-,rule-based,,
Cli-37,Cli,org.apache.commons.cli.OptionBuilder,0,encodes_bug,Absent Automated Oracle,revealability,rule-based,,
Cli-38,Cli,org.apache.commons.cli.HelpFormatter,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
Cli-39,Cli,org.apache.commons.cli.CommandLine,0,passes_both,Environment and External-Call Dependence,reachability,rule-based,,
Cli-40,Cli,org.apache.commons.cli.OptionBuilder,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
Closure-1,Closure,com.google.javascript.jscomp.TypeCheck,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-2,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,no_compile,Absent Automated Oracle,revealability,rule-based,,
Closure-3,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-4,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,fails_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-5,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,encodes_bug,State-Dependent Call Sequences,infection,rule-based,,
Closure-6,Closure,com.google.javascript.jscomp.TypeCheck,0,fails_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-7,Closure,com.google.javascript.jscomp.ClosureCodingConvention,0,passes_both,State-Dependent Call Sequences,infection,rule-based,,
Closure-8,Closure,com.google.javascript.jscomp.TypeCheck,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-9,Closure,com.google.javascript.jscomp.InlineFunctions,0,passes_both,Complex Object Construction,reachability,manual,State-Dependent Call Sequences,Complex Object Construction
Closure-10,Closure,com.google.javascript.jscomp.NodeUtil,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-11,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
Closure-12,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,fails_both,State-Dependent Call Sequences,infection,rule-based,,
Closure-13,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-14,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Closure-15,Closure,com.google.javascript.jscomp.InlineFunctions,0,passes_both,Complex Object Construction,reachability,rule-based,,
Closure-16,Closure,com.google.javascript.jscomp.InlineFunctions,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-17,Closure,com.google.javascript.jscomp.TypeCheck,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Closure-18,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,encodes_bug,No structural obstacle,-,rule-based,,
Closure-19,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,passes_both,Absent Automated Oracle,revealability,rule-based,,
Closure-20,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,passes_both,Absent Automated Oracle,revealability,rule-based,,
Closure-21,Closure,com.google.javascript.jscomp.InlineFunctions,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-22,Closure,com.google.javascript.jscomp.ScopedAliases,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-23,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,encodes_bug,Environment and External-Call Dependence,reachability,rule-based,,
Closure-24,Closure,com.google.javascript.jscomp.CheckGlobalThis,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-25,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,encodes_bug,Complex Object Construction,reachability,manual,Complex Object Construction,State-Dependent Call Sequences
Closure-26,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,fails_both,State-Dependent Call Sequences,infection,rule-based,,
Closure-27,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-28,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,passes_both,Environment and External-Call Dependence,reachability,rule-based,,
Closure-29,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,passes_both,Environment and External-Call Dependence,reachability,rule-based,,
Closure-30,Closure,com.google.javascript.jscomp.TypeCheck,0,passes_both,State-Dependent Call Sequences,infection,manual,Absent Automated Oracle,State-Dependent Call Sequences
Closure-31,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,passes_both,Absent Automated Oracle,revealability,rule-based,,
Closure-32,Closure,com.google.javascript.jscomp.ScopedAliases,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-33,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-34,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,passes_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,State-Dependent Call Sequences
Closure-35,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,fails_both,Complex Object Construction,reachability,manual,Complex Object Construction,Absent Automated Oracle
Closure-36,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,passes_both,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-37,Closure,com.google.javascript.jscomp.TypeCheck,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-38,Closure,com.google.javascript.jscomp.InlineFunctions,0,passes_both,Environment and External-Call Dependence,reachability,manual,Environment and External-Call Dependence,Absent Automated Oracle
Closure-39,Closure,com.google.javascript.jscomp.DataFlowAnalysis,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-40,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,passes_both,No structural obstacle,-,rule-based,,
Closure-41,Closure,com.google.javascript.jscomp.InlineFunctions,0,encodes_bug,Environment and External-Call Dependence,reachability,rule-based,,
Closure-42,Closure,com.google.javascript.jscomp.InlineFunctions,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-43,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,fails_both,State-Dependent Call Sequences,infection,rule-based,,
Closure-44,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,fails_both,Complex Object Construction,reachability,rule-based,,
Closure-45,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,fails_both,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-46,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-47,Closure,com.google.javascript.jscomp.TypeCheck,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-48,Closure,com.google.javascript.jscomp.CheckGlobalThis,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-49,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,passes_both,Absent Automated Oracle,revealability,rule-based,,
Closure-50,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-51,Closure,com.google.javascript.jscomp.ClosureCodingConvention,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-52,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,encodes_bug,State-Dependent Call Sequences,infection,rule-based,,
Closure-53,Closure,com.google.javascript.jscomp.TypeCheck,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-54,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,no_compile,Absent Automated Oracle,revealability,rule-based,,
Closure-55,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-56,Closure,com.google.javascript.jscomp.InlineFunctions,0,fails_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-57,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-58,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-59,Closure,com.google.javascript.jscomp.ClosureCodingConvention,0,encodes_bug,Absent Automated Oracle,revealability,manual,Environment and External-Call Dependence,Absent Automated Oracle
Closure-60,Closure,com.google.javascript.jscomp.TypeCheck,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-61,Closure,com.google.javascript.jscomp.ScopedAliases,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Closure-62,Closure,com.google.javascript.jscomp.LightweightMessageFormatter,0,passes_both,Complex Object Construction,reachability,rule-based,,
Closure-64,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,encodes_bug,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-65,Closure,com.google.javascript.jscomp.ScopedAliases,0,encodes_bug,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-66,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-67,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-68,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,encodes_bug,State-Dependent Call Sequences,infection,rule-based,,
Closure-69,Closure,com.google.javascript.rhino.jstype.PrototypeObjectType,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-70,Closure,com.google.javascript.jscomp.InlineFunctions,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-71,Closure,com.google.javascript.jscomp.TypeCheck,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-72,Closure,com.google.javascript.jscomp.ClosureCodingConvention,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-73,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,Environment and External-Call Dependence,reachability,rule-based,,
Closure-74,Closure,com.google.javascript.jscomp.TypeCheck,0,encodes_bug,Environment and External-Call Dependence,reachability,manual,Environment and External-Call Dependence,Environment and External-Call Dependence
Closure-75,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-76,Closure,com.google.javascript.jscomp.ClosureCodingConvention,0,passes_both,Complex Object Construction,reachability,rule-based,,
Closure-77,Closure,com.google.javascript.jscomp.InlineFunctions,0,passes_both,Environment and External-Call Dependence,reachability,manual,Environment and External-Call Dependence,Environment and External-Call Dependence
Closure-78,Closure,com.google.javascript.jscomp.ScopedAliases,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
Closure-79,Closure,com.google.javascript.jscomp.CheckGlobalThis,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-80,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-81,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,passes_both,Environment and External-Call Dependence,reachability,rule-based,,
Closure-82,Closure,com.google.javascript.jscomp.ScopedAliases,0,passes_both,State-Dependent Call Sequences,infection,manual,Absent Automated Oracle,State-Dependent Call Sequences
Closure-83,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,passes_both,Complex Object Construction,reachability,rule-based,,
Closure-84,Closure,com.google.javascript.jscomp.ClosureCodingConvention,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-85,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,no_compile,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,No structural obstacle
Closure-86,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-87,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,passes_both,Complex Object Construction,reachability,rule-based,,
Closure-88,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,0,passes_both,Environment and External-Call Dependence,reachability,rule-based,,
Closure-89,Closure,com.google.javascript.rhino.jstype.PrototypeObjectType,0,passes_both,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-90,Closure,com.google.javascript.rhino.jstype.PrototypeObjectType,0,fails_both,No structural obstacle,-,manual,No structural obstacle,No structural obstacle
Closure-91,Closure,com.google.javascript.jscomp.ClosureCodingConvention,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-92,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-94,Closure,com.google.javascript.jscomp.ScopedAliases,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-95,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-96,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
Closure-97,Closure,com.google.javascript.jscomp.CheckGlobalThis,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-98,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,encodes_bug,State-Dependent Call Sequences,infection,rule-based,,
Closure-99,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,passes_both,Environment and External-Call Dependence,reachability,manual,Environment and External-Call Dependence,Environment and External-Call Dependence
Closure-100,Closure,com.google.javascript.jscomp.ClosureCodingConvention,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-101,Closure,com.google.javascript.jscomp.CheckGlobalThis,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-102,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,0,no_compile,Environment and External-Call Dependence,reachability,rule-based,,
Closure-103,Closure,com.google.javascript.jscomp.InlineFunctions,0,passes_both,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-104,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,no_compile,Absent Automated Oracle,revealability,rule-based,,
Closure-105,Closure,com.google.javascript.rhino.jstype.PrototypeObjectType,0,encodes_bug,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-106,Closure,com.google.javascript.jscomp.ClosureCodingConvention,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-107,Closure,com.google.javascript.jscomp.InlineFunctions,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-108,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,passes_both,Environment and External-Call Dependence,reachability,rule-based,,
Closure-109,Closure,com.google.javascript.jscomp.CheckGlobalThis,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-110,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-111,Closure,com.google.javascript.jscomp.InlineFunctions,0,no_compile,State-Dependent Call Sequences,infection,manual,State-Dependent Call Sequences,State-Dependent Call Sequences
Closure-112,Closure,com.google.javascript.jscomp.ScopedAliases,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-113,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
Closure-114,Closure,com.google.javascript.jscomp.InlineFunctions,0,no_compile,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-115,Closure,com.google.javascript.jscomp.ScopedAliases,0,encodes_bug,Environment and External-Call Dependence,reachability,rule-based,,
Closure-116,Closure,com.google.javascript.jscomp.ScopedAliases,0,no_compile,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-117,Closure,com.google.javascript.jscomp.ScopedAliases,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-118,Closure,com.google.javascript.jscomp.CheckGlobalThis,0,no_compile,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-119,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,passes_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-120,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,encodes_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-121,Closure,com.google.javascript.jscomp.TypeCheck,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-122,Closure,com.google.javascript.jscomp.TypeCheck,1,detects_bug,Complex Object Construction,reachability,rule-based,,
Closure-123,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,State-Dependent Call Sequences,infection,rule-based,,
Closure-124,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,1,detects_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-125,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,1,detects_bug,State-Dependent Call Sequences,infection,rule-based,,
Closure-126,Closure,com.google.javascript.jscomp.InlineFunctions,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-127,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,passes_both,Environment and External-Call Dependence,reachability,rule-based,,
Closure-128,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,0,encodes_bug,Absent Automated Oracle,revealability,rule-based,,
Closure-129,Closure,com.google.javascript.jscomp.TypeCheck,0,fails_both,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-130,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-131,Closure,com.google.javascript.jscomp.DataFlowAnalysis,0,fails_both,Absent Automated Oracle,revealability,rule-based,,
Closure-132,Closure,com.google.javascript.jscomp.TypeCheck,0,no_compile,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-133,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,passes_both,Absent Automated Oracle,revealability,rule-based,,
Closure-134,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-135,Closure,com.google.javascript.jscomp.ScopedAliases,0,encodes_bug,Complex Object Construction,reachability,rule-based,,
Closure-136,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,encodes_bug,Environment and External-Call Dependence,reachability,manual,Environment and External-Call Dependence,Environment and External-Call Dependence
Closure-137,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,0,encodes_bug,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-138,Closure,com.google.javascript.jscomp.InlineFunctions,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-139,Closure,com.google.javascript.rhino.jstype.PrototypeObjectType,0,encodes_bug,Complex Object Construction,reachability,manual,Complex Object Construction,Complex Object Construction
Closure-140,Closure,com.google.javascript.jscomp.FunctionTypeBuilder,0,fails_both,Absent Automated Oracle,revealability,manual,Absent Automated Oracle,Absent Automated Oracle
Closure-141,Closure,com.google.javascript.jscomp.CheckGlobalThis,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-142,Closure,com.google.javascript.jscomp.PeepholeRemoveDeadCode,1,detects_bug,Environment and External-Call Dependence,reachability,rule-based,,
Closure-143,Closure,com.google.javascript.jscomp.DataFlowAnalysis,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-144,Closure,com.google.javascript.jscomp.CheckGlobalThis,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-145,Closure,com.google.javascript.jscomp.PeepholeFoldConstants,1,detects_bug,No structural obstacle,-,rule-based,,
Closure-146,Closure,com.google.javascript.jscomp.ClosureCodingConvention,0,passes_both,Absent Automated Oracle,revealability,rule-based,,
