# Per-class results, RQ1-RQ4 (paper Sec. 5.1-5.4).
# STRATIFIED SAMPLE, not the full corpus. Generation and the build ran on all
# 147,473 classes, so the compilation-rate and attempt columns of
# tab:extended_results_with_compilation are corpus-wide. Coverage, mutation and
# smell columns are computed on these 400 classes per configuration, drawn once
# by lines of code and cyclomatic complexity and held fixed across all 37
# configurations so that every comparison is paired. Sampling error on a quality
# column is about +/-2 pp; see tab:rq1_dispersion.
# pit_tests_run is the number of tests PIT actually ran against after
# skipFailingTests; it equals tests_run wherever the final suite passes.
# semantically_reproducible is the memorization probe's verdict for the class,
# at the CodeBLEU 0.8 threshold; it is a property of the class, so it is the
# same across every configuration of that class.
# Class and repository identifiers are anonymised.
project_id,class_name,qualified_name,model,strategy,compiled_initially,compiled,tests_passed,attempts,correction_iterations,correction_termination,line_coverage,branch_coverage,method_coverage,mutation_score,mutants_killed,mutants_survived,mutants_excluded,smell_detector,AR,EH,MG,EA,LT,UT,RO,MNT,initial_error_category,initial_error_phase,error_resolved,tests_run,pit_tests_run,test_failures,prompt_tokens,completion_tokens,duration_seconds,error,test_file,semantically_reproducible
repo_014,Class014,com.example.p14.Class014,gpt-4o-mini,zero-shot,0,1,1,3,2,success,54.3070,28.7325,72.1172,66.6950,18,9,1,tsdetect,2,1,0,2,5,0,0,10,hallucinated_symbol,compilation,1,14,14,0,3765,1380,11.62,,src/test/java/com/example/p14/Class014Test.java,0
repo_015,Class015,com.example.p15.Class015,gpt-4o-mini,zero-shot,0,1,1,2,1,success,58.3051,39.4729,72.1196,18.1707,2,9,1,tsdetect,5,0,0,1,4,0,0,6,type_mismatch,compilation,1,8,8,0,5133,1441,13.18,,src/test/java/com/example/p15/Class015Test.java,0
repo_016,Class016,com.example.p16.Class016,gpt-4o-mini,zero-shot,0,1,1,2,1,success,56.1455,23.5479,73.3767,9.1925,1,10,1,tsdetect,2,1,0,3,7,1,0,11,type_mismatch,compilation,1,10,10,0,4304,661,17.54,,src/test/java/com/example/p16/Class016Test.java,0
repo_017,Class017,com.example.p17.Class017,gpt-4o-mini,zero-shot,0,1,1,2,1,success,56.5808,39.3336,68.2902,35.3466,6,11,1,tsdetect,1,2,0,3,7,1,0,7,assertion_failure,test,1,12,12,0,4062,1545,20.84,,src/test/java/com/example/p17/Class017Test.java,0
repo_018,Class018,com.example.p18.Class018,gpt-4o-mini,zero-shot,1,1,1,1,0,success,77.3221,58.8725,90.8198,45.4214,5,6,1,tsdetect,2,0,0,0,2,0,0,6,,,0,14,14,0,4305,1496,19.13,,src/test/java/com/example/p18/Class018Test.java,0
repo_019,Class019,com.example.p19.Class019,gpt-4o-mini,zero-shot,0,1,1,2,1,success,64.7488,40.0881,79.4884,41.4344,24,34,4,tsdetect,2,1,0,3,5,0,0,9,hallucinated_symbol,compilation,1,6,6,0,4388,1382,14.76,,src/test/java/com/example/p19/Class019Test.java,1
repo_020,Class020,com.example.p20.Class020,gpt-4o-mini,zero-shot,0,1,1,2,1,success,59.4733,32.4041,67.9109,15.9702,4,21,2,tsdetect,1,1,0,1,10,0,0,6,assertion_failure,test,1,6,6,0,4035,2065,19.25,,src/test/java/com/example/p20/Class020Test.java,0
repo_021,Class021,com.example.p21.Class021,gpt-4o-mini,zero-shot,1,1,1,1,0,success,60.2687,34.9015,81.3482,54.5938,6,5,1,tsdetect,1,0,0,5,3,0,1,5,,,0,8,8,0,4023,1565,16.8,,src/test/java/com/example/p21/Class021Test.java,0
repo_022,Class022,com.example.p22.Class022,gpt-4o-mini,zero-shot,0,1,1,2,1,success,45.0244,11.9998,62.2297,36.3657,4,7,1,tsdetect,1,2,1,3,4,0,0,8,mock_setup,compilation,1,10,10,0,3553,1393,14.75,,src/test/java/com/example/p22/Class022Test.java,0
repo_023,Class023,com.example.p23.Class023,gpt-4o-mini,zero-shot,0,1,1,2,1,success,49.3599,11.9960,65.2644,23.1101,9,30,3,tsdetect,1,1,0,3,5,0,1,11,hallucinated_symbol,compilation,1,14,14,0,4368,1442,15.19,,src/test/java/com/example/p23/Class023Test.java,1
repo_024,Class024,com.example.p24.Class024,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,0,tsdetect,0,0,0,0,0,0,0,0,mock_setup,compilation,0,0,0,0,3831,1619,13.72,compilation failed after 5 attempts,,0
repo_025,Class025,com.example.p25.Class025,gpt-4o-mini,zero-shot,0,1,1,2,1,success,61.6894,47.9588,71.9773,35.6940,5,9,1,tsdetect,0,0,0,0,5,0,0,5,hallucinated_symbol,compilation,1,9,9,0,4589,1294,16.5,,src/test/java/com/example/p25/Class025Test.java,1
repo_026,Class026,com.example.p26.Class026,gpt-4o-mini,zero-shot,0,1,1,2,1,success,45.3722,0.0323,61.0347,32.4212,11,23,2,tsdetect,2,1,1,0,5,0,0,9,hallucinated_symbol,compilation,1,6,6,0,3977,1161,14.07,,src/test/java/com/example/p26/Class026Test.java,0
repo_027,Class027,com.example.p27.Class027,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,0,tsdetect,0,0,0,0,0,0,0,0,type_mismatch,compilation,0,0,0,0,4298,938,12.71,compilation failed after 5 attempts,,0
repo_028,Class028,com.example.p28.Class028,gpt-4o-mini,zero-shot,0,1,1,2,1,success,62.3654,43.9115,69.8601,36.4969,4,7,1,tsdetect,2,0,0,3,5,0,0,10,missing_import,compilation,1,5,5,0,4150,1336,17.62,,src/test/java/com/example/p28/Class028Test.java,0
repo_029,Class029,com.example.p29.Class029,gpt-4o-mini,zero-shot,1,1,1,1,0,success,65.1613,49.8427,80.9017,54.5833,6,5,1,tsdetect,0,2,0,0,1,1,1,9,,,0,5,5,0,3723,1198,14.23,,src/test/java/com/example/p29/Class029Test.java,0
repo_030,Class030,com.example.p30.Class030,gpt-4o-mini,zero-shot,0,1,1,2,1,success,56.0224,14.5923,65.6006,56.5282,13,10,2,tsdetect,4,1,1,5,8,1,0,9,syntax_violation,compilation,1,10,10,0,4417,1777,19.47,,src/test/java/com/example/p30/Class030Test.java,0
repo_031,Class031,com.example.p31.Class031,gpt-4o-mini,zero-shot,1,1,1,1,0,success,76.4745,50.4688,83.2124,70.8646,17,7,2,tsdetect,0,3,0,1,4,0,0,8,,,0,11,11,0,4764,1073,10.16,,src/test/java/com/example/p31/Class031Test.java,0
repo_032,Class032,com.example.p32.Class032,gpt-4o-mini,zero-shot,1,1,1,1,0,success,77.0297,72.5324,86.0174,54.4325,6,5,1,tsdetect,1,2,0,3,4,0,0,1,,,0,9,9,0,4635,1357,10.87,,src/test/java/com/example/p32/Class032Test.java,0
repo_033,Class033,com.example.p33.Class033,gpt-4o-mini,zero-shot,1,1,1,1,0,success,96.1994,88.0288,99.9139,90.9778,10,1,1,tsdetect,0,0,0,0,0,0,0,1,,,0,6,6,0,5004,1820,16.7,,src/test/java/com/example/p33/Class033Test.java,0
repo_034,Class034,com.example.p34.Class034,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,1,tsdetect,0,0,0,0,0,0,0,0,mock_setup,compilation,0,0,0,0,3749,1375,18.28,compilation failed after 5 attempts,,1
repo_035,Class035,com.example.p35.Class035,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,0,tsdetect,0,0,0,0,0,0,0,0,assertion_failure,test,0,0,0,0,3805,1876,19.22,compilation failed after 5 attempts,,0
repo_036,Class036,com.example.p36.Class036,gpt-4o-mini,zero-shot,0,1,1,2,1,success,56.9794,31.9489,72.4969,9.1131,1,10,1,tsdetect,4,0,0,1,5,0,0,6,hallucinated_symbol,compilation,1,12,12,0,4023,1254,15.34,,src/test/java/com/example/p36/Class036Test.java,1
repo_037,Class037,com.example.p37.Class037,gpt-4o-mini,zero-shot,1,1,1,1,0,success,72.2181,63.9302,84.7704,63.7133,7,4,1,tsdetect,1,1,0,1,1,0,0,7,,,0,4,4,0,4601,1504,23.78,,src/test/java/com/example/p37/Class037Test.java,1
repo_038,Class038,com.example.p38.Class038,gpt-4o-mini,zero-shot,1,1,1,1,0,success,86.5882,62.5971,82.3791,18.1461,2,9,1,tsdetect,1,0,0,0,6,0,0,4,,,0,6,6,0,4177,1909,15.5,,src/test/java/com/example/p38/Class038Test.java,0
repo_039,Class039,com.example.p39.Class039,gpt-4o-mini,zero-shot,1,1,1,1,0,success,71.0750,54.0678,84.5153,52.9455,18,16,2,tsdetect,0,1,0,1,2,1,1,3,,,0,9,9,0,4251,1523,16.54,,src/test/java/com/example/p39/Class039Test.java,1
repo_040,Class040,com.example.p40.Class040,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,0,tsdetect,0,0,0,0,0,0,0,0,type_mismatch,compilation,0,0,0,0,4387,1528,13.57,compilation failed after 5 attempts,,0
repo_041,Class041,com.example.p41.Class041,gpt-4o-mini,zero-shot,0,1,1,2,1,success,46.0901,12.2352,64.1748,18.1678,2,9,1,tsdetect,2,2,0,1,10,0,0,10,hallucinated_symbol,compilation,1,6,6,0,4331,1575,16.44,,src/test/java/com/example/p41/Class041Test.java,0
repo_042,Class042,com.example.p42.Class042,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,1,tsdetect,0,0,0,0,0,0,0,0,hallucinated_symbol,compilation,0,0,0,0,4627,1297,18.87,compilation failed after 5 attempts,,0
repo_043,Class043,com.example.p43.Class043,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,4,tsdetect,0,0,0,0,0,0,0,0,runtime_exception,test,0,0,0,0,4873,868,25.64,compilation failed after 5 attempts,,0
repo_044,Class044,com.example.p44.Class044,gpt-4o-mini,zero-shot,1,1,1,1,0,success,64.7016,62.5944,84.9271,81.8485,9,2,1,tsdetect,0,0,0,4,5,0,0,4,,,0,10,10,0,4435,1128,16.04,,src/test/java/com/example/p44/Class044Test.java,0
repo_045,Class045,com.example.p45.Class045,gpt-4o-mini,zero-shot,0,1,1,2,1,success,53.5367,33.3950,68.8780,45.4199,5,6,1,tsdetect,1,0,0,2,5,1,0,12,assertion_failure,test,1,5,5,0,4554,1546,15.21,,src/test/java/com/example/p45/Class045Test.java,1
repo_046,Class046,com.example.p46.Class046,gpt-4o-mini,zero-shot,0,1,1,2,1,success,42.3620,32.1590,64.1296,69.5307,16,7,2,tsdetect,1,2,0,4,10,0,0,9,runtime_exception,test,1,14,14,0,4271,1398,14.2,,src/test/java/com/example/p46/Class046Test.java,0
repo_047,Class047,com.example.p47.Class047,gpt-4o-mini,zero-shot,0,1,1,2,1,success,46.0080,20.1365,71.4471,36.3660,4,7,1,tsdetect,0,1,0,2,8,0,0,9,hallucinated_symbol,compilation,1,14,14,0,3780,323,22.12,,src/test/java/com/example/p47/Class047Test.java,0
repo_048,Class048,com.example.p48.Class048,gpt-4o-mini,zero-shot,1,1,1,1,0,success,72.9240,25.6189,77.0440,63.6704,7,4,1,tsdetect,1,1,0,1,2,1,0,4,,,0,10,10,0,4238,1819,23.86,,src/test/java/com/example/p48/Class048Test.java,0
repo_049,Class049,com.example.p49.Class049,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,4,tsdetect,0,0,0,0,0,0,0,0,assertion_failure,test,0,0,0,0,3646,922,15.8,compilation failed after 5 attempts,,1
repo_050,Class050,com.example.p50.Class050,gpt-4o-mini,zero-shot,1,1,1,1,0,success,84.4795,74.2247,90.6037,63.6305,7,4,1,tsdetect,1,0,0,2,1,0,0,3,,,0,11,11,0,4495,1868,16.44,,src/test/java/com/example/p50/Class050Test.java,1
repo_051,Class051,com.example.p51.Class051,gpt-4o-mini,zero-shot,0,1,1,2,1,success,62.1016,47.3044,74.4346,43.7277,7,9,1,tsdetect,1,1,0,3,3,0,0,8,mock_setup,compilation,1,13,13,0,4555,1199,17.43,,src/test/java/com/example/p51/Class051Test.java,1
repo_052,Class052,com.example.p52.Class052,gpt-4o-mini,zero-shot,0,1,1,2,1,success,47.9926,16.1771,71.5400,54.5909,6,5,1,tsdetect,4,0,1,3,8,0,0,14,hallucinated_symbol,compilation,1,10,10,0,4189,1096,18.07,,src/test/java/com/example/p52/Class052Test.java,0
repo_053,Class053,com.example.p53.Class053,gpt-4o-mini,zero-shot,1,1,1,1,0,success,89.4193,85.2332,93.3682,51.4647,18,17,2,tsdetect,0,0,0,2,4,0,0,6,,,0,7,7,0,4497,1721,19.87,,src/test/java/com/example/p53/Class053Test.java,1
repo_054,Class054,com.example.p54.Class054,gpt-4o-mini,zero-shot,0,1,1,2,1,success,43.9489,29.1401,63.9134,45.4135,5,6,1,tsdetect,0,1,0,5,2,0,0,13,type_mismatch,compilation,1,6,6,0,4326,1514,39.79,,src/test/java/com/example/p54/Class054Test.java,0
repo_055,Class055,com.example.p55.Class055,gpt-4o-mini,zero-shot,1,1,1,1,0,success,91.5799,69.1165,99.9419,73.7374,14,5,1,tsdetect,0,0,0,2,0,1,0,3,,,0,11,11,0,4509,1526,15.54,,src/test/java/com/example/p55/Class055Test.java,1
repo_056,Class056,com.example.p56.Class056,gpt-4o-mini,zero-shot,0,1,1,2,1,success,62.4156,24.3838,62.8124,45.5282,5,6,1,tsdetect,0,1,0,0,5,0,0,9,missing_import,compilation,1,6,6,0,4172,1778,20.42,,src/test/java/com/example/p56/Class056Test.java,0
repo_057,Class057,com.example.p57.Class057,gpt-4o-mini,zero-shot,0,1,1,2,1,success,43.5487,22.9201,68.1012,0.0596,0,16,2,tsdetect,1,3,0,5,9,1,0,15,hallucinated_symbol,compilation,1,8,8,0,4108,1874,19.32,,src/test/java/com/example/p57/Class057Test.java,0
repo_058,Class058,com.example.p58.Class058,gpt-4o-mini,zero-shot,0,1,1,2,1,success,52.6244,26.6392,65.9068,45.4240,5,6,1,tsdetect,2,0,0,0,5,0,0,4,syntax_violation,compilation,1,10,10,0,4325,1162,16.81,,src/test/java/com/example/p58/Class058Test.java,0
repo_059,Class059,com.example.p59.Class059,gpt-4o-mini,zero-shot,0,1,1,3,2,success,59.2439,30.7256,68.4924,54.4506,6,5,1,tsdetect,1,0,1,2,10,4,0,3,type_mismatch,compilation,1,14,14,0,4794,1306,13.13,,src/test/java/com/example/p59/Class059Test.java,0
repo_060,Class060,com.example.p60.Class060,gpt-4o-mini,zero-shot,1,1,1,1,0,success,77.6171,45.3464,83.2436,45.4251,5,6,1,tsdetect,1,0,0,2,2,0,0,6,,,0,4,4,0,4971,1303,14.55,,src/test/java/com/example/p60/Class060Test.java,0
repo_061,Class061,com.example.p61.Class061,gpt-4o-mini,zero-shot,0,1,1,2,1,success,46.5185,25.2155,64.1362,27.2867,3,8,1,tsdetect,1,0,1,6,6,0,0,7,hallucinated_symbol,compilation,1,7,7,0,4321,1200,14.11,,src/test/java/com/example/p61/Class061Test.java,0
repo_062,Class062,com.example.p62.Class062,gpt-4o-mini,zero-shot,1,1,1,1,0,success,81.7022,68.5888,92.8722,92.8630,13,1,1,tsdetect,1,0,0,1,3,0,0,2,,,0,5,5,0,4575,1453,22.77,,src/test/java/com/example/p62/Class062Test.java,0
repo_063,Class063,com.example.p63.Class063,gpt-4o-mini,zero-shot,1,1,1,1,0,success,61.3245,47.4256,73.7193,45.3853,5,6,1,tsdetect,0,1,0,6,2,1,0,5,,,0,11,11,0,4798,1616,14.49,,src/test/java/com/example/p63/Class063Test.java,1
repo_064,Class064,com.example.p64.Class064,gpt-4o-mini,zero-shot,1,1,1,1,0,success,81.3631,67.0386,82.9619,72.6541,8,3,1,tsdetect,0,0,1,1,4,0,0,5,,,0,6,6,0,3831,1542,12.18,,src/test/java/com/example/p64/Class064Test.java,0
repo_065,Class065,com.example.p65.Class065,gpt-4o-mini,zero-shot,0,1,1,2,1,success,61.7360,24.0579,64.3086,54.5561,6,5,1,tsdetect,2,0,1,4,5,0,0,5,missing_import,compilation,1,7,7,0,4349,1213,17.26,,src/test/java/com/example/p65/Class065Test.java,0
repo_066,Class066,com.example.p66.Class066,gpt-4o-mini,zero-shot,0,0,0,3,2,regression,0.0,0.0,0.0,0.0,0,0,1,tsdetect,0,0,0,0,0,0,0,0,assertion_failure,test,0,0,0,0,4307,1311,14.11,compilation failed after 5 attempts,,0
repo_067,Class067,com.example.p67.Class067,gpt-4o-mini,zero-shot,1,1,1,1,0,success,73.9923,48.3048,82.8441,45.3792,5,6,1,tsdetect,0,0,0,3,4,0,0,7,,,0,5,5,0,4083,1933,14.18,,src/test/java/com/example/p67/Class067Test.java,1
repo_068,Class068,com.example.p68.Class068,gpt-4o-mini,zero-shot,1,1,1,1,0,success,91.2722,88.0614,100.0000,69.7263,23,10,2,tsdetect,1,0,0,1,2,0,0,6,,,0,7,7,0,4288,846,11.36,,src/test/java/com/example/p68/Class068Test.java,0
repo_069,Class069,com.example.p69.Class069,gpt-4o-mini,zero-shot,0,1,1,2,1,success,39.6499,33.1669,59.8945,27.7771,5,13,1,tsdetect,3,1,0,2,4,1,0,17,missing_import,compilation,1,7,7,0,4660,1311,17.84,,src/test/java/com/example/p69/Class069Test.java,0
repo_070,Class070,com.example.p70.Class070,gpt-4o-mini,zero-shot,1,1,1,1,0,success,69.6554,49.2902,81.9337,36.3632,4,7,1,tsdetect,1,0,0,0,5,0,0,5,,,0,12,12,0,4663,1509,18.42,,src/test/java/com/example/p70/Class070Test.java,0
repo_071,Class071,com.example.p71.Class071,gpt-4o-mini,zero-shot,0,1,1,2,1,success,53.6395,60.8783,68.3512,53.1104,17,15,2,tsdetect,1,1,0,6,8,0,0,10,mock_setup,compilation,1,11,11,0,4434,1636,21.83,,src/test/java/com/example/p71/Class071Test.java,1
repo_072,Class072,com.example.p72.Class072,gpt-4o-mini,zero-shot,0,1,1,2,1,success,54.7863,33.9022,69.3416,41.1103,7,10,1,tsdetect,0,0,0,1,6,1,1,9,missing_import,compilation,1,6,6,0,4037,1490,20.92,,src/test/java/com/example/p72/Class072Test.java,0
repo_073,Class073,com.example.p73.Class073,gpt-4o-mini,zero-shot,1,1,1,1,0,success,67.8964,61.9784,76.9944,36.3143,4,7,1,tsdetect,3,1,1,3,7,0,0,4,,,0,12,12,0,3948,1034,11.96,,src/test/java/com/example/p73/Class073Test.java,1
repo_074,Class074,com.example.p74.Class074,gpt-4o-mini,zero-shot,0,1,1,2,1,success,48.9058,29.9684,70.2559,30.7844,4,9,1,tsdetect,1,4,0,4,4,1,0,9,type_mismatch,compilation,1,8,8,0,3984,1287,11.81,,src/test/java/com/example/p74/Class074Test.java,1
repo_075,Class075,com.example.p75.Class075,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,0,tsdetect,0,0,0,0,0,0,0,0,hallucinated_symbol,compilation,0,0,0,0,3849,1684,12.94,compilation failed after 5 attempts,,0
repo_076,Class076,com.example.p76.Class076,gpt-4o-mini,zero-shot,0,1,1,2,1,success,55.6062,26.5807,61.7035,31.6624,6,13,2,tsdetect,1,0,1,1,5,0,0,8,assertion_failure,test,1,12,12,0,4579,2004,16.0,,src/test/java/com/example/p76/Class076Test.java,1
repo_077,Class077,com.example.p77.Class077,gpt-4o-mini,zero-shot,0,1,1,2,1,success,51.7776,39.6987,67.2868,26.3208,5,14,2,tsdetect,3,1,0,2,3,1,0,12,missing_import,compilation,1,5,5,0,4346,1374,20.22,,src/test/java/com/example/p77/Class077Test.java,0
repo_078,Class078,com.example.p78.Class078,gpt-4o-mini,zero-shot,0,1,1,2,1,success,62.7096,38.7588,78.0536,49.9877,6,6,1,tsdetect,0,0,0,3,1,0,0,8,type_mismatch,compilation,1,9,9,0,4080,1717,20.91,,src/test/java/com/example/p78/Class078Test.java,0
repo_079,Class079,com.example.p79.Class079,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,0,tsdetect,0,0,0,0,0,0,0,0,assertion_failure,test,0,0,0,0,4027,2134,16.25,compilation failed after 5 attempts,,0
repo_000,Class080,com.example.p0.Class080,gpt-4o-mini,zero-shot,1,1,1,1,0,success,69.5373,70.4244,88.1248,72.6665,8,3,1,tsdetect,1,0,0,2,4,0,0,2,,,0,11,11,0,4083,1498,13.29,,src/test/java/com/example/p0/Class080Test.java,1
repo_001,Class081,com.example.p1.Class081,gpt-4o-mini,zero-shot,0,1,1,4,3,success,45.7225,18.4287,65.0816,22.7624,5,17,2,tsdetect,6,3,1,3,11,1,0,8,assertion_failure,test,1,9,9,0,4281,1846,19.54,,src/test/java/com/example/p1/Class081Test.java,0
repo_002,Class082,com.example.p2.Class082,gpt-4o-mini,zero-shot,0,1,1,2,1,success,66.3552,34.4927,71.5600,36.4175,4,7,1,tsdetect,3,0,0,2,4,0,0,10,runtime_exception,test,1,7,7,0,4075,1504,11.69,,src/test/java/com/example/p2/Class082Test.java,0
repo_003,Class083,com.example.p3.Class083,gpt-4o-mini,zero-shot,0,1,1,2,1,success,54.5663,22.2833,67.5117,31.2688,5,11,2,tsdetect,0,1,0,2,8,0,0,7,runtime_exception,test,1,4,4,0,4168,1535,22.23,,src/test/java/com/example/p3/Class083Test.java,0
repo_004,Class084,com.example.p4.Class084,gpt-4o-mini,zero-shot,0,1,1,2,1,success,48.2468,9.9975,61.8042,36.3717,4,7,1,tsdetect,1,1,0,2,4,0,0,3,missing_import,compilation,1,12,12,0,4155,1767,14.88,,src/test/java/com/example/p4/Class084Test.java,0
repo_005,Class085,com.example.p5.Class085,gpt-4o-mini,zero-shot,0,1,1,2,1,success,48.3202,19.1906,69.6614,27.3691,3,8,1,tsdetect,3,2,0,3,4,0,0,9,missing_import,compilation,1,10,10,0,4301,1914,15.72,,src/test/java/com/example/p5/Class085Test.java,1
repo_006,Class086,com.example.p6.Class086,gpt-4o-mini,zero-shot,0,0,0,6,5,max_attempts,0.0,0.0,0.0,0.0,0,0,2,tsdetect,0,0,0,0,0,0,0,0,assertion_failure,test,0,0,0,0,4406,1658,14.05,compilation failed after 5 attempts,,0
repo_007,Class087,com.example.p7.Class087,gpt-4o-mini,zero-shot,1,1,1,1,0,success,71.0524,41.0033,77.4301,37.4082,6,10,1,tsdetect,3,0,0,1,3,0,0,2,,,0,5,5,0,4974,1922,10.69,,src/test/java/com/example/p7/Class087Test.java,0
repo_008,Class088,com.example.p8.Class088,gpt-4o-mini,zero-shot,0,1,1,2,1,success,70.9922,39.2637,70.9853,46.1603,6,7,1,tsdetect,3,1,0,2,3,0,0,2,syntax_violation,compilation,1,6,6,0,4184,1546,17.25,,src/test/java/com/example/p8/Class088Test.java,1
