# RQ7 -- the correction loop as a factor orthogonal to the strategy (tab:rq7_loop).
# Same 2,000 classes as per_class_controls.csv, and for zero-shot and dynamic the same
# draw: compiled_loop_off equals compiled_initially there and tokens_loop_on equals tokens.
# tokens_loop_off is generation alone; tokens_loop_on adds 6,400 per correction iteration.
# compiled_loop_on is a superset of compiled_loop_off: the loop only repairs what failed.
class_id,strategy,compiled_loop_off,compiled_loop_on,tokens_loop_off,tokens_loop_on
s_0177,zero-shot,0,1,5581,16265
s_0178,zero-shot,1,1,4362,7823
s_0179,zero-shot,0,0,5509,5509
s_0180,zero-shot,1,1,6603,18830
s_0181,zero-shot,1,1,5136,6917
s_0182,zero-shot,0,1,4448,5434
s_0183,zero-shot,0,0,9247,19278
s_0184,zero-shot,1,1,4075,12975
s_0185,zero-shot,0,0,8151,8329
s_0186,zero-shot,1,1,6681,7125
s_0187,zero-shot,1,1,6465,9027
s_0188,zero-shot,0,0,4352,4352
s_0189,zero-shot,1,1,10215,12096
s_0190,zero-shot,1,1,6192,6192
s_0191,zero-shot,0,1,3855,17777
s_0192,zero-shot,0,1,9058,16158
s_0193,zero-shot,1,1,8528,8528
s_0194,zero-shot,1,1,8639,35600
s_0195,zero-shot,1,1,9286,11767
s_0196,zero-shot,1,1,5577,10872
s_0197,zero-shot,1,1,9286,22891
s_0198,zero-shot,1,1,4162,18627
s_0199,zero-shot,1,1,4217,9438
s_0200,zero-shot,1,1,10194,10194
s_0201,zero-shot,0,0,9318,17921
s_0202,zero-shot,1,1,5360,19600
s_0203,zero-shot,1,1,6776,6776
s_0204,zero-shot,1,1,7856,9165
s_0205,zero-shot,1,1,7217,7402
s_0206,zero-shot,1,1,7097,17648
s_0207,zero-shot,1,1,7781,8062
s_0208,zero-shot,0,0,5127,5127
s_0209,zero-shot,0,1,3009,3009
s_0210,zero-shot,0,1,5459,5459
s_0211,zero-shot,0,1,4601,15254
s_0212,zero-shot,1,1,2871,2871
s_0213,zero-shot,1,1,5681,42759
s_0214,zero-shot,1,1,5622,9831
s_0215,zero-shot,0,1,4580,149890
s_0216,zero-shot,0,1,4668,11063
s_0217,zero-shot,1,1,3614,3614
s_0218,zero-shot,1,1,3930,18850
s_0219,zero-shot,0,0,6876,8436
s_0220,zero-shot,0,1,8155,8946
s_0221,zero-shot,0,1,5731,5731
s_0222,zero-shot,0,1,4772,17395
s_0223,zero-shot,0,1,4703,4929
s_0224,zero-shot,0,1,3862,3862
s_0225,zero-shot,1,1,5477,6091
s_0226,zero-shot,1,1,4814,6004
s_0227,zero-shot,1,1,6117,7337
s_0228,zero-shot,1,1,7623,7623
s_0229,zero-shot,0,1,1850,1850
s_0230,zero-shot,0,1,4954,6319
s_0231,zero-shot,1,1,6284,10978
s_0232,zero-shot,0,0,8203,154256
s_0233,zero-shot,1,1,7089,14039
s_0234,zero-shot,0,1,7481,7481
s_0235,zero-shot,0,1,7197,14863
s_0236,zero-shot,0,1,8081,14657
s_0237,zero-shot,1,1,4240,17987
s_0238,zero-shot,1,1,9391,9391
s_0239,zero-shot,0,0,5176,8032
s_0240,zero-shot,1,1,6116,9335
s_0241,zero-shot,0,1,5109,15125
s_0242,zero-shot,1,1,4497,13973
s_0243,zero-shot,1,1,9860,11314
s_0244,zero-shot,0,1,4537,23988
s_0245,zero-shot,0,1,3692,50497
s_0246,zero-shot,1,1,10558,15255
s_0247,zero-shot,0,1,9264,9264
s_0248,zero-shot,1,1,6060,6060
s_0249,zero-shot,1,1,5722,5722
s_0250,zero-shot,1,1,4062,4062
s_0251,zero-shot,1,1,3811,5193
s_0252,zero-shot,1,1,4761,4761
s_0253,zero-shot,0,1,5327,5479
s_0254,zero-shot,1,1,5826,5826
s_0255,zero-shot,0,1,3460,4540
s_0256,zero-shot,0,0,6566,6566
s_0257,zero-shot,0,1,6597,9254
s_0258,zero-shot,1,1,5292,5292
s_0259,zero-shot,0,1,4052,21292
s_0260,zero-shot,0,1,5461,9715
s_0261,zero-shot,1,1,4060,4060
s_0262,zero-shot,0,1,7038,7038
s_0263,zero-shot,1,1,10687,25174
s_0264,zero-shot,1,1,5004,5004
s_0265,zero-shot,1,1,5746,9525
s_0266,zero-shot,0,1,3837,12866
s_0267,zero-shot,0,0,3873,12337
s_0268,zero-shot,0,1,2842,5710
s_0269,zero-shot,0,1,4679,4679
s_0270,zero-shot,1,1,10061,10061
s_0271,zero-shot,1,1,7074,7074
s_0272,zero-shot,0,1,3225,3225
s_0273,zero-shot,0,0,3785,3785
s_0274,zero-shot,0,1,5320,12031
s_0275,zero-shot,0,1,8668,10669
s_0276,zero-shot,1,1,6757,8606
s_0277,zero-shot,0,1,6125,6845
s_0278,zero-shot,1,1,4304,11671
s_0279,zero-shot,1,1,4013,4013
s_0280,zero-shot,1,1,5725,14019
s_0281,zero-shot,1,1,7170,20668
s_0282,zero-shot,0,1,5273,8684
s_0283,zero-shot,0,1,2322,6687
s_0284,zero-shot,1,1,4760,17153
s_0285,zero-shot,1,1,8864,16886
s_0286,zero-shot,1,1,7748,9830
s_0287,zero-shot,0,0,9542,9542
s_0288,zero-shot,1,1,6782,11833
s_0289,zero-shot,1,1,4106,4106
s_0290,zero-shot,1,1,6644,13162
s_0291,zero-shot,0,1,7912,9861
s_0292,zero-shot,1,1,6989,14141
s_0293,zero-shot,0,1,3809,11053
s_0294,zero-shot,1,1,4977,4977
s_0295,zero-shot,1,1,7211,7316
s_0296,zero-shot,0,1,5799,17507
s_0297,zero-shot,1,1,5661,6280
s_0298,zero-shot,1,1,6929,6929
s_0299,zero-shot,0,1,8129,11165
s_0300,zero-shot,1,1,4714,6959
s_0301,zero-shot,0,1,3930,4617
s_0302,zero-shot,0,1,4619,34083
s_0303,zero-shot,1,1,5497,6546
s_0304,zero-shot,0,1,2699,7821
s_0305,zero-shot,0,1,8317,32983
s_0306,zero-shot,1,1,3565,3565
s_0307,zero-shot,0,1,8652,16682
s_0308,zero-shot,1,1,8321,10794
s_0309,zero-shot,1,1,3977,4057
s_0310,zero-shot,0,0,3014,5247
s_0311,zero-shot,1,1,4771,4771
s_0312,zero-shot,1,1,4955,10732
s_0313,zero-shot,0,1,8049,18079
s_0314,zero-shot,0,0,3428,4769
s_0315,zero-shot,1,1,8861,26058
s_0316,zero-shot,0,1,6069,6184
s_0317,zero-shot,0,1,2817,3566
s_0318,zero-shot,1,1,10467,13183
s_0319,zero-shot,1,1,3957,32131
s_0320,zero-shot,1,1,4952,6242
s_0321,zero-shot,0,1,4679,4679
s_0322,zero-shot,1,1,3935,3935
s_0323,zero-shot,0,1,5107,10182
s_0324,zero-shot,1,1,5244,5329
s_0325,zero-shot,1,1,4770,6673
s_0326,zero-shot,1,1,19614,21778
s_0327,zero-shot,0,1,4692,8040
s_0328,zero-shot,1,1,4553,21182
s_0329,zero-shot,1,1,6392,8727
s_0330,zero-shot,0,1,5735,7812
s_0331,zero-shot,1,1,5343,12097
s_0332,zero-shot,1,1,5762,9440
s_0333,zero-shot,0,0,5240,5832
s_0334,zero-shot,1,1,10292,10292
s_0335,zero-shot,1,1,4286,6165
s_0336,zero-shot,1,1,7365,8363
s_0337,zero-shot,0,1,3925,7684
s_0338,zero-shot,0,1,8066,18105
s_0339,zero-shot,1,1,4065,13843
s_0340,zero-shot,1,1,6023,6023
s_0341,zero-shot,1,1,4185,8385
s_0342,zero-shot,1,1,12589,15837
s_0343,zero-shot,0,1,7192,7192
s_0344,zero-shot,0,1,2981,4772
s_0345,zero-shot,1,1,8410,8410
s_0346,zero-shot,1,1,3808,11747
s_0347,zero-shot,0,1,7533,8417
s_0348,zero-shot,1,1,9478,17947
s_0349,zero-shot,1,1,8482,44349
s_0350,zero-shot,0,1,6441,12048
s_0351,zero-shot,0,1,4831,5411
s_0352,zero-shot,0,1,6596,14927
s_0353,zero-shot,1,1,7723,17591
s_0354,zero-shot,0,1,4536,4536
s_0355,zero-shot,0,1,8530,23092
s_0356,zero-shot,0,1,4476,8243
s_0357,zero-shot,1,1,4499,6136
s_0358,zero-shot,0,1,6463,14404
s_0359,zero-shot,0,1,3652,15084
s_0360,zero-shot,0,1,4382,11227
s_0361,zero-shot,1,1,8034,19138
s_0362,zero-shot,1,1,5640,5640
s_0363,zero-shot,1,1,7720,23485
s_0364,zero-shot,1,1,4466,11938
s_0365,zero-shot,1,1,5261,5370
s_0366,zero-shot,1,1,3943,4468
s_0367,zero-shot,0,1,5103,5103
s_0368,zero-shot,1,1,5917,9602
s_0369,zero-shot,1,1,4344,33091
s_0370,zero-shot,0,1,5838,9180
s_0371,zero-shot,1,1,8650,21083
s_0372,zero-shot,1,1,6140,8735
s_0373,zero-shot,1,1,5254,30582
s_0374,zero-shot,1,1,5770,6126
s_0375,zero-shot,1,1,7530,7530
s_0376,zero-shot,1,1,5543,11746
s_0377,zero-shot,0,1,3293,3293
s_0378,zero-shot,1,1,4945,22477
s_0379,zero-shot,0,1,4378,11577
s_0380,zero-shot,1,1,5313,8831
s_0381,zero-shot,1,1,13611,14673
s_0382,zero-shot,0,1,5563,11120
s_0383,zero-shot,0,0,6221,6510
s_0384,zero-shot,1,1,4232,4232
s_0385,zero-shot,1,1,7164,7164
s_0386,zero-shot,1,1,4758,4758
s_0387,zero-shot,0,1,5590,9745
s_0388,zero-shot,1,1,9743,9743
s_0389,zero-shot,0,1,5062,11932
s_0390,zero-shot,1,1,3657,3657
s_0391,zero-shot,0,0,4576,6302
s_0392,zero-shot,1,1,3382,11903
s_0393,zero-shot,0,1,3797,3797
s_0394,zero-shot,1,1,4192,6919
s_0395,zero-shot,1,1,2205,16089
s_0396,zero-shot,1,1,6467,8600
s_0397,zero-shot,0,1,9837,20951
s_0398,zero-shot,1,1,5328,12711
s_0399,zero-shot,0,1,7780,7780
s_0400,zero-shot,0,1,3975,20841
s_0401,zero-shot,0,1,5888,8538
s_0402,zero-shot,1,1,3019,3019
s_0403,zero-shot,1,1,5169,18572
s_0404,zero-shot,0,0,5983,10201
s_0405,zero-shot,1,1,6647,8148
s_0406,zero-shot,0,1,4927,4927
s_0407,zero-shot,1,1,3710,16596
s_0408,zero-shot,0,1,4162,4569
s_0409,zero-shot,0,1,6784,9420
s_0410,zero-shot,0,1,5496,17126
s_0411,zero-shot,0,1,3447,3447
s_0412,zero-shot,0,1,3726,3951
s_0413,zero-shot,0,1,6174,7447
s_0414,zero-shot,0,1,6047,10667
s_0415,zero-shot,1,1,5335,12889
s_0416,zero-shot,1,1,10454,10454
s_0417,zero-shot,1,1,3663,3663
s_0418,zero-shot,1,1,5787,7550
s_0419,zero-shot,0,1,7051,7051
s_0420,zero-shot,1,1,7748,9018
s_0421,zero-shot,1,1,5024,5024
s_0422,zero-shot,1,1,5628,8437
s_0423,zero-shot,0,1,5228,6458
s_0424,zero-shot,0,1,6621,35260
s_0425,zero-shot,0,1,4545,4545
s_0426,zero-shot,1,1,6662,6662
s_0427,zero-shot,0,1,7171,7171
s_0428,zero-shot,0,1,5367,41221
s_0429,zero-shot,0,1,4997,4997
s_0430,zero-shot,0,1,6510,8335
s_0431,zero-shot,0,1,4943,7334
s_0432,zero-shot,0,1,5485,15423
s_0433,zero-shot,1,1,5857,17486
s_0434,zero-shot,1,1,4401,4401
s_0435,zero-shot,1,1,4742,6311
s_0436,zero-shot,1,1,3539,3539
s_0437,zero-shot,1,1,3121,10737
s_0438,zero-shot,0,1,1795,3497
s_0439,zero-shot,0,1,4275,4275
s_0440,zero-shot,0,1,6257,6292
s_0441,zero-shot,0,0,12613,12613
s_0442,zero-shot,0,1,6343,13568
s_0443,zero-shot,1,1,2916,6156
s_0444,zero-shot,1,1,7166,9763
s_0445,zero-shot,1,1,6751,16156
s_0446,zero-shot,0,0,4221,7343
s_0447,zero-shot,1,1,4893,9112
s_0448,zero-shot,0,0,5592,5592
s_0449,zero-shot,0,0,6445,6445
s_0450,zero-shot,0,0,5619,5619
s_0451,zero-shot,1,1,6929,7727
s_0452,zero-shot,1,1,5340,5340
s_0453,zero-shot,0,1,6453,6453
s_0454,zero-shot,0,1,10312,13071
s_0455,zero-shot,0,1,6945,6945
s_0456,zero-shot,1,1,4267,12972
s_0457,zero-shot,1,1,4713,4713
s_0458,zero-shot,1,1,6828,8229
s_0459,zero-shot,0,0,8006,8006
s_0460,zero-shot,0,1,6067,14016
s_0461,zero-shot,0,1,6374,10322
s_0462,zero-shot,1,1,3935,6538
s_0463,zero-shot,0,1,7297,7297
s_0464,zero-shot,1,1,6797,6797
s_0465,zero-shot,0,1,3391,12324
s_0466,zero-shot,0,1,7758,15769
s_0467,zero-shot,0,1,3961,3961
s_0468,zero-shot,1,1,5184,5184
s_0469,zero-shot,1,1,6370,6370
s_0470,zero-shot,1,1,3708,5360
s_0471,zero-shot,1,1,4408,6418
s_0472,zero-shot,0,1,7207,16991
s_0473,zero-shot,0,1,8466,28265
s_0474,zero-shot,1,1,6723,6723
s_0475,zero-shot,0,1,2770,2770
s_0476,zero-shot,1,1,3606,3606
s_0477,zero-shot,1,1,3165,4907
s_0478,zero-shot,1,1,7305,7372
s_0479,zero-shot,1,1,7248,9500
s_0480,zero-shot,1,1,4048,8597
s_0481,zero-shot,1,1,4595,22748
s_0482,zero-shot,1,1,9488,17251
s_0483,zero-shot,1,1,6243,6243
s_0484,zero-shot,1,1,7058,19498
s_0485,zero-shot,0,1,6663,9956
s_0486,zero-shot,1,1,8006,8006
s_0487,zero-shot,0,0,5842,6740
s_0488,zero-shot,0,1,2051,2051
s_0489,zero-shot,0,1,5120,5239
s_0490,zero-shot,1,1,5283,10942
s_0491,zero-shot,0,1,5624,5624
s_0492,zero-shot,0,0,4886,13704
s_0493,zero-shot,0,1,6046,7037
s_0494,zero-shot,1,1,6330,12976
s_0495,zero-shot,0,1,4095,4148
s_0496,zero-shot,1,1,2978,6829
s_0497,zero-shot,1,1,5201,5693
s_0498,zero-shot,1,1,4761,5582
s_0499,zero-shot,1,1,8009,8009
s_0500,zero-shot,1,1,4410,4560
s_0501,zero-shot,0,1,7039,14896
s_0502,zero-shot,0,0,7860,9438
s_0503,zero-shot,0,1,10083,10083
s_0504,zero-shot,1,1,4558,8214
s_0505,zero-shot,0,1,4195,20231
s_0506,zero-shot,0,1,7268,7269
s_0507,zero-shot,1,1,5145,6894
s_0508,zero-shot,0,1,5501,10386
s_0509,zero-shot,0,1,6250,6846
s_0510,zero-shot,0,1,3125,3125
s_0511,zero-shot,0,0,10308,10308
s_0512,zero-shot,1,1,2878,3068
s_0513,zero-shot,0,1,7289,12885
s_0514,zero-shot,0,1,5397,59388
s_0515,zero-shot,0,1,4666,4666
s_0516,zero-shot,0,0,4418,12358
s_0517,zero-shot,1,1,4847,4847
s_0518,zero-shot,0,1,6837,13316
s_0519,zero-shot,1,1,7112,13544
s_0520,zero-shot,0,1,4755,7800
s_0521,zero-shot,1,1,2948,15123
s_0522,zero-shot,0,1,5954,11426
s_0523,zero-shot,0,0,5056,17539
s_0524,zero-shot,1,1,4547,16870
s_0525,zero-shot,1,1,3501,14668
s_0526,zero-shot,0,0,5469,42566
s_0527,zero-shot,1,1,6530,8968
s_0528,zero-shot,1,1,4444,4653
s_0529,zero-shot,1,1,4169,6180
s_0530,zero-shot,1,1,6351,9350
s_0531,zero-shot,0,1,6126,6126
s_0532,zero-shot,1,1,7666,7666
s_0533,zero-shot,1,1,4100,5998
s_0534,zero-shot,1,1,3697,6154
s_0535,zero-shot,0,0,4430,4430
s_0536,zero-shot,0,1,4841,4841
s_0537,zero-shot,0,1,6159,9524
s_0538,zero-shot,0,1,3907,11604
s_0539,zero-shot,0,0,6488,8838
s_0540,zero-shot,0,1,5438,5438
s_0541,zero-shot,1,1,4920,9607
s_0542,zero-shot,1,1,4671,9823
s_0543,zero-shot,1,1,6134,12601
s_0544,zero-shot,1,1,2566,3587
s_0545,zero-shot,1,1,3395,3395
s_0546,zero-shot,0,0,5493,10079
s_0547,zero-shot,0,1,6455,12627
s_0548,zero-shot,0,1,7370,10925
s_0549,zero-shot,0,0,3735,9775
s_0550,zero-shot,1,1,5669,8073
s_0551,zero-shot,0,1,11638,14573
s_0552,zero-shot,1,1,4553,4553
s_0553,zero-shot,1,1,6618,27580
s_0554,zero-shot,0,1,3872,3955
s_0555,zero-shot,0,1,3329,5763
s_0556,zero-shot,1,1,5690,11726
s_0557,zero-shot,1,1,6012,21155
s_0558,zero-shot,1,1,5377,6099
s_0559,zero-shot,1,1,6905,7771
s_0560,zero-shot,1,1,6559,22289
s_0561,zero-shot,0,1,8179,8179
s_0562,zero-shot,0,0,5089,23096
s_0563,zero-shot,1,1,6345,27523
s_0564,zero-shot,1,1,7557,8278
s_0565,zero-shot,1,1,4339,52111
s_0566,zero-shot,0,0,4628,8040
s_0567,zero-shot,1,1,8292,17169
s_0568,zero-shot,0,1,5113,6319
s_0569,zero-shot,1,1,11648,11648
s_0570,zero-shot,1,1,3611,5870
s_0571,zero-shot,1,1,7538,8179
s_0572,zero-shot,1,1,5567,5567
s_0573,zero-shot,1,1,5418,9164
s_0574,zero-shot,0,0,4120,5255
s_0575,zero-shot,0,1,7053,7053
s_0576,zero-shot,1,1,11283,11283
s_0577,zero-shot,1,1,6178,6178
s_0578,zero-shot,1,1,3977,5630
s_0579,zero-shot,1,1,5376,6881
s_0580,zero-shot,1,1,5057,9643
s_0581,zero-shot,1,1,2622,8440
s_0582,zero-shot,0,0,5275,8441
s_0583,zero-shot,1,1,5528,5528
s_0584,zero-shot,1,1,4573,15774
s_0585,zero-shot,0,0,7267,9055
s_0586,zero-shot,1,1,5167,5457
s_0587,zero-shot,1,1,4022,5906
s_0588,zero-shot,1,1,3836,4887
s_0589,zero-shot,0,1,5785,12497
s_0590,zero-shot,1,1,5285,5285
s_0591,zero-shot,0,1,2698,7257
s_0592,zero-shot,0,0,7498,10664
s_0593,zero-shot,0,1,10695,10695
s_0594,zero-shot,0,1,5628,5628
s_0595,zero-shot,1,1,4010,5480
s_0596,zero-shot,1,1,6342,15795
s_0597,zero-shot,0,1,6192,6192
s_0598,zero-shot,1,1,4442,5754
s_0599,zero-shot,0,0,3890,4359
s_0600,zero-shot,0,1,3418,9281
s_0601,zero-shot,0,1,5208,6403
s_0602,zero-shot,1,1,4523,4523
s_0603,zero-shot,1,1,5152,5152
s_0604,zero-shot,1,1,4527,9589
s_0605,zero-shot,0,1,6713,6713
s_0606,zero-shot,0,1,4536,8657
s_0607,zero-shot,1,1,7493,9181
s_0608,zero-shot,0,1,6351,13359
s_0609,zero-shot,1,1,8010,8010
s_0610,zero-shot,1,1,5104,5104
s_0611,zero-shot,1,1,3468,7056
s_0612,zero-shot,1,1,3911,6665
s_0613,zero-shot,0,0,4181,4181
s_0614,zero-shot,0,1,4366,5586
s_0615,zero-shot,0,1,3312,10493
s_0616,zero-shot,1,1,3838,6454
s_0617,zero-shot,0,1,8036,14601
s_0618,zero-shot,1,1,6887,37223
s_0619,zero-shot,0,1,5472,17725
s_0620,zero-shot,1,1,4985,12038
s_0621,zero-shot,0,1,7420,17335
s_0622,zero-shot,1,1,6166,25775
s_0623,zero-shot,1,1,6469,6469
s_0624,zero-shot,1,1,8161,17028
s_0625,zero-shot,1,1,4152,10546
s_0626,zero-shot,1,1,5544,11017
s_0627,zero-shot,0,0,7738,15411
s_0628,zero-shot,1,1,8009,13023
s_0629,zero-shot,0,0,4041,13991
s_0630,zero-shot,1,1,7270,13011
s_0631,zero-shot,0,1,5765,6102
s_0632,zero-shot,1,1,6995,14488
s_0633,zero-shot,0,1,4472,5736
s_0634,zero-shot,1,1,5822,6730
s_0635,zero-shot,1,1,4539,4539
s_0636,zero-shot,0,0,7000,10480
s_0637,zero-shot,0,1,7457,7457
s_0638,zero-shot,0,1,2456,2456
s_0639,zero-shot,1,1,3841,13175
s_0640,zero-shot,0,1,4469,11693
s_0641,zero-shot,0,1,6297,6297
s_0642,zero-shot,0,1,4077,21710
s_0643,zero-shot,0,0,6963,15613
