# RQ7 -- the budget-normalised control arms, per class (tab:rq7_controls).
# Same 2,000 classes as per_class_controls.csv, and for zero-shot and dynamic the same
# draw: compiled_loop_off equals compiled_initially there and tokens_loop_on equals tokens.
# tokens_loop_off is generation alone; tokens_loop_on adds 6,400 per correction iteration.
# compiled_loop_on is a superset of compiled_loop_off: the loop only repairs what failed.
class_id,loc,cyclomatic_complexity,arm,llm_calls,tokens,compiled_initially,mutation_score
s_0103,116,6,zero-shot,1,11801,1,46.16
s_0104,2601,103,zero-shot,1,8811,1,24.91
s_0105,151,14,zero-shot,1,4633,0,
s_0106,668,39,zero-shot,1,9418,1,51.53
s_0107,1036,45,zero-shot,1,18988,1,29.41
s_0108,333,16,zero-shot,1,12671,1,53.33
s_0109,1076,70,zero-shot,1,7444,0,
s_0110,241,12,zero-shot,1,3049,1,52.60
s_0111,484,32,zero-shot,1,7216,1,31.77
s_0112,1041,45,zero-shot,1,3309,1,49.81
s_0113,2140,88,zero-shot,1,5767,0,
s_0114,781,25,zero-shot,1,23984,1,41.93
s_0115,459,26,zero-shot,1,5588,0,
s_0116,1288,43,zero-shot,1,6606,0,
s_0117,2189,71,zero-shot,1,6599,1,33.43
s_0118,1132,41,zero-shot,1,5415,1,55.92
s_0119,415,28,zero-shot,1,35572,1,38.36
s_0120,891,90,zero-shot,1,6388,0,
s_0121,287,27,zero-shot,1,9161,0,
s_0122,1589,84,zero-shot,1,11160,0,
s_0123,2682,127,zero-shot,1,3804,1,47.12
s_0124,378,43,zero-shot,1,20020,1,61.72
s_0125,373,29,zero-shot,1,6440,1,62.54
s_0126,975,58,zero-shot,1,6750,1,37.93
s_0127,1059,46,zero-shot,1,4672,0,
s_0128,793,43,zero-shot,1,11558,1,44.74
s_0129,5271,258,zero-shot,1,6465,1,34.92
s_0130,3076,115,zero-shot,1,4404,1,41.56
s_0131,136,6,zero-shot,1,34448,1,67.84
s_0132,165,8,zero-shot,1,6737,0,
s_0133,153,12,zero-shot,1,5562,1,32.64
s_0134,1312,60,zero-shot,1,14673,0,
s_0135,7857,338,zero-shot,1,5644,0,
s_0136,1751,75,zero-shot,1,3305,1,51.65
s_0137,1296,93,zero-shot,1,20295,1,53.05
s_0138,992,78,zero-shot,1,5257,0,
s_0139,296,15,zero-shot,1,9932,0,
s_0140,1792,86,zero-shot,1,22814,0,
s_0141,1257,48,zero-shot,1,4870,0,
s_0142,251,14,zero-shot,1,8132,1,34.63
s_0143,827,58,zero-shot,1,7836,1,44.09
s_0144,354,14,zero-shot,1,14942,0,
s_0145,687,50,zero-shot,1,6905,1,43.27
s_0146,386,25,zero-shot,1,24762,0,
s_0147,758,38,zero-shot,1,9767,1,31.53
s_0148,616,36,zero-shot,1,68356,0,
s_0149,294,27,zero-shot,1,15702,0,
s_0150,825,49,zero-shot,1,33141,1,55.47
s_0151,1246,70,zero-shot,1,21364,0,
s_0152,323,16,zero-shot,1,15446,1,37.91
s_0153,413,25,zero-shot,1,17329,1,50.00
s_0154,3670,212,zero-shot,1,4760,0,
s_0155,1330,67,zero-shot,1,11140,0,
s_0156,739,36,zero-shot,1,9053,1,38.32
s_0157,1289,42,zero-shot,1,7266,0,
s_0158,159,14,zero-shot,1,9467,1,58.41
s_0159,1187,57,zero-shot,1,4609,1,65.50
s_0160,767,45,zero-shot,1,5534,0,
s_0161,336,22,zero-shot,1,5933,0,
s_0162,351,24,zero-shot,1,9370,1,48.47
s_0163,278,17,zero-shot,1,7684,0,
s_0164,1851,115,zero-shot,1,7470,1,58.53
s_0165,202,14,zero-shot,1,12489,1,43.92
s_0166,2658,135,zero-shot,1,12537,0,
s_0167,5385,136,zero-shot,1,19381,1,44.56
s_0168,211,14,zero-shot,1,47226,0,
s_0169,696,54,zero-shot,1,23845,1,44.84
s_0170,899,43,zero-shot,1,9614,1,34.04
s_0171,78,4,zero-shot,1,24598,1,60.27
s_0172,1021,37,zero-shot,1,17217,0,
s_0173,716,42,zero-shot,1,7724,1,50.98
s_0174,547,26,zero-shot,1,23482,1,58.36
s_0175,728,48,zero-shot,1,9923,1,36.77
s_0176,2799,229,zero-shot,1,24702,0,
s_0177,308,15,zero-shot,1,16265,0,
s_0178,1096,58,zero-shot,1,7823,1,37.89
s_0179,11978,277,zero-shot,1,5509,0,
s_0180,662,63,zero-shot,1,18830,1,57.37
s_0181,170,12,zero-shot,1,6917,1,49.23
s_0182,2369,212,zero-shot,1,5434,0,
s_0183,1854,64,zero-shot,1,19278,0,
s_0184,222,17,zero-shot,1,12975,1,64.66
s_0185,2544,107,zero-shot,1,8329,0,
s_0186,260,29,zero-shot,1,7125,1,39.22
s_0187,889,49,zero-shot,1,9027,1,36.13
s_0188,322,18,zero-shot,1,4352,0,
s_0189,314,24,zero-shot,1,12096,1,55.04
s_0190,363,23,zero-shot,1,6192,1,42.43
s_0191,982,70,zero-shot,1,17777,0,
s_0192,4029,165,zero-shot,1,16158,0,
s_0193,599,20,zero-shot,1,8528,1,69.67
s_0194,133,12,zero-shot,1,35600,1,71.77
s_0195,366,28,zero-shot,1,11767,1,59.93
s_0196,144,7,zero-shot,1,10872,1,53.87
s_0197,1246,46,zero-shot,1,22891,1,64.88
s_0198,522,34,zero-shot,1,18627,1,43.79
s_0199,410,19,zero-shot,1,9438,1,53.23
s_0200,680,21,zero-shot,1,10194,1,43.46
s_0201,3083,157,zero-shot,1,17921,0,
s_0202,266,16,zero-shot,1,19600,1,40.51
s_0203,1066,67,zero-shot,1,6776,1,39.39
s_0204,418,15,zero-shot,1,9165,1,52.54
s_0205,469,18,zero-shot,1,7402,1,56.01
s_0206,471,30,zero-shot,1,17648,1,37.82
s_0207,238,8,zero-shot,1,8062,1,68.40
s_0208,293,13,zero-shot,1,5127,0,
s_0209,217,9,zero-shot,1,3009,0,
s_0210,779,39,zero-shot,1,5459,0,
s_0211,2983,139,zero-shot,1,15254,0,
s_0212,110,11,zero-shot,1,2871,1,41.30
s_0213,375,24,zero-shot,1,42759,1,73.15
s_0214,834,46,zero-shot,1,9831,1,38.60
s_0215,552,36,zero-shot,1,149890,0,
s_0216,863,22,zero-shot,1,11063,0,
s_0217,147,14,zero-shot,1,3614,1,66.75
s_0218,868,47,zero-shot,1,18850,1,43.04
s_0219,916,38,zero-shot,1,8436,0,
s_0220,4208,98,zero-shot,1,8946,0,
s_0221,609,26,zero-shot,1,5731,0,
s_0222,1375,41,zero-shot,1,17395,0,
s_0223,669,15,zero-shot,1,4929,0,
s_0224,1097,42,zero-shot,1,3862,0,
s_0225,705,48,zero-shot,1,6091,1,46.92
s_0226,287,22,zero-shot,1,6004,1,45.47
s_0227,1412,39,zero-shot,1,7337,1,32.97
s_0228,463,16,zero-shot,1,7623,1,43.31
s_0229,702,21,zero-shot,1,1850,0,
s_0230,806,43,zero-shot,1,6319,0,
s_0231,677,22,zero-shot,1,10978,1,42.24
s_0232,1639,75,zero-shot,1,154256,0,
s_0233,140,13,zero-shot,1,14039,1,41.96
s_0234,827,87,zero-shot,1,7481,0,
s_0235,741,41,zero-shot,1,14863,0,
s_0236,883,27,zero-shot,1,14657,0,
s_0237,794,32,zero-shot,1,17987,1,48.95
s_0238,985,49,zero-shot,1,9391,1,49.39
s_0239,1422,64,zero-shot,1,8032,0,
s_0240,76,6,zero-shot,1,9335,1,68.43
s_0241,2425,175,zero-shot,1,15125,0,
s_0242,2255,114,zero-shot,1,13973,1,34.71
s_0243,376,22,zero-shot,1,11314,1,57.32
s_0244,1649,75,zero-shot,1,23988,0,
s_0245,1076,27,zero-shot,1,50497,0,
s_0246,275,12,zero-shot,1,15255,1,44.21
s_0247,984,64,zero-shot,1,9264,0,
s_0248,1996,193,zero-shot,1,6060,1,42.98
s_0249,2385,82,zero-shot,1,5722,1,31.68
s_0250,327,18,zero-shot,1,4062,1,57.70
s_0251,127,7,zero-shot,1,5193,1,60.66
s_0252,1093,37,zero-shot,1,4761,1,38.44
s_0253,4910,248,zero-shot,1,5479,0,
s_0254,959,35,zero-shot,1,5826,1,31.06
s_0255,328,21,zero-shot,1,4540,0,
s_0256,1358,92,zero-shot,1,6566,0,
s_0257,577,20,zero-shot,1,9254,0,
s_0258,749,64,zero-shot,1,5292,1,25.29
s_0259,1096,55,zero-shot,1,21292,0,
s_0260,1149,62,zero-shot,1,9715,0,
s_0261,664,31,zero-shot,1,4060,1,29.64
s_0262,670,37,zero-shot,1,7038,0,
s_0263,589,41,zero-shot,1,25174,1,29.01
s_0264,1396,118,zero-shot,1,5004,1,25.24
s_0265,1577,109,zero-shot,1,9525,1,60.70
s_0266,934,65,zero-shot,1,12866,0,
s_0267,11647,456,zero-shot,1,12337,0,
s_0268,406,22,zero-shot,1,5710,0,
s_0269,875,91,zero-shot,1,4679,0,
s_0270,2606,115,zero-shot,1,10061,1,54.08
s_0271,670,44,zero-shot,1,7074,1,44.07
s_0272,635,33,zero-shot,1,3225,0,
s_0273,6422,195,zero-shot,1,3785,0,
s_0274,364,22,zero-shot,1,12031,0,
s_0275,780,36,zero-shot,1,10669,0,
s_0276,321,17,zero-shot,1,8606,1,37.51
s_0277,913,51,zero-shot,1,6845,0,
s_0278,635,62,zero-shot,1,11671,1,50.52
s_0279,1532,62,zero-shot,1,4013,1,44.73
s_0280,913,43,zero-shot,1,14019,1,48.27
s_0281,488,44,zero-shot,1,20668,1,48.39
s_0282,1001,18,zero-shot,1,8684,0,
s_0283,2666,104,zero-shot,1,6687,0,
s_0284,401,22,zero-shot,1,17153,1,26.93
s_0285,956,41,zero-shot,1,16886,1,42.75
s_0286,294,18,zero-shot,1,9830,1,47.83
s_0287,1585,69,zero-shot,1,9542,0,
s_0288,477,13,zero-shot,1,11833,1,64.04
s_0289,433,30,zero-shot,1,4106,1,55.49
s_0290,1350,101,zero-shot,1,13162,1,41.02
s_0291,1666,46,zero-shot,1,9861,0,
s_0292,1265,58,zero-shot,1,14141,1,59.42
s_0293,1047,51,zero-shot,1,11053,0,
s_0294,297,18,zero-shot,1,4977,1,67.02
s_0295,539,25,zero-shot,1,7316,1,48.12
s_0296,179,9,zero-shot,1,17507,0,
s_0297,3470,213,zero-shot,1,6280,1,54.45
s_0298,586,36,zero-shot,1,6929,1,55.72
s_0299,508,24,zero-shot,1,11165,0,
s_0300,1067,55,zero-shot,1,6959,1,38.93
s_0301,2924,143,zero-shot,1,4617,0,
s_0302,1798,70,zero-shot,1,34083,0,
s_0303,252,15,zero-shot,1,6546,1,40.07
s_0304,3578,216,zero-shot,1,7821,0,
s_0305,1575,91,zero-shot,1,32983,0,
s_0306,287,21,zero-shot,1,3565,1,53.35
s_0307,242,11,zero-shot,1,16682,0,
s_0308,1048,61,zero-shot,1,10794,1,44.86
s_0309,852,31,zero-shot,1,4057,1,54.53
s_0310,1188,82,zero-shot,1,5247,0,
s_0311,1616,65,zero-shot,1,4771,1,37.28
s_0312,483,33,zero-shot,1,10732,1,37.38
s_0313,481,22,zero-shot,1,18079,0,
s_0314,3484,113,zero-shot,1,4769,0,
s_0315,324,23,zero-shot,1,26058,1,35.78
s_0316,2565,108,zero-shot,1,6184,0,
s_0317,7707,138,zero-shot,1,3566,0,
s_0318,614,24,zero-shot,1,13183,1,65.14
s_0319,178,14,zero-shot,1,32131,1,58.06
s_0320,290,17,zero-shot,1,6242,1,50.11
s_0321,650,39,zero-shot,1,4679,0,
s_0322,460,30,zero-shot,1,3935,1,53.47
s_0323,1179,48,zero-shot,1,10182,0,
s_0324,1855,61,zero-shot,1,5329,1,35.84
s_0325,43,4,zero-shot,1,6673,1,71.82
s_0326,311,17,zero-shot,1,21778,1,59.61
s_0327,1236,49,zero-shot,1,8040,0,
s_0328,345,17,zero-shot,1,21182,1,35.09
s_0329,1653,102,zero-shot,1,8727,1,51.94
s_0330,2925,136,zero-shot,1,7812,0,
s_0331,394,34,zero-shot,1,12097,1,37.45
s_0332,852,31,zero-shot,1,9440,1,36.29
s_0333,572,28,zero-shot,1,5832,0,
s_0334,3852,219,zero-shot,1,10292,1,59.58
s_0335,2267,90,zero-shot,1,6165,1,51.51
s_0336,960,69,zero-shot,1,8363,1,51.04
s_0337,769,43,zero-shot,1,7684,0,
s_0338,262,20,zero-shot,1,18105,0,
s_0339,431,33,zero-shot,1,13843,1,26.35
s_0340,470,29,zero-shot,1,6023,1,52.57
s_0341,1350,80,zero-shot,1,8385,1,53.93
s_0342,714,44,zero-shot,1,15837,1,28.59
s_0343,998,97,zero-shot,1,7192,0,
s_0344,814,38,zero-shot,1,4772,0,
s_0345,3120,77,zero-shot,1,8410,1,42.81
s_0346,1324,96,zero-shot,1,11747,1,50.49
s_0347,399,25,zero-shot,1,8417,0,
s_0348,677,41,zero-shot,1,17947,1,35.64
s_0349,312,20,zero-shot,1,44349,1,53.99
s_0350,561,33,zero-shot,1,12048,0,
s_0351,420,36,zero-shot,1,5411,0,
s_0352,2622,140,zero-shot,1,14927,0,
s_0353,791,56,zero-shot,1,17591,1,60.32
s_0354,1601,106,zero-shot,1,4536,0,
s_0355,828,37,zero-shot,1,23092,0,
s_0356,311,15,zero-shot,1,8243,0,
s_0357,269,11,zero-shot,1,6136,1,75.22
s_0358,1155,35,zero-shot,1,14404,0,
s_0359,156,8,zero-shot,1,15084,0,
s_0360,1076,42,zero-shot,1,11227,0,
s_0361,84,8,zero-shot,1,19138,1,32.30
s_0362,1000,50,zero-shot,1,5640,1,42.63
s_0363,923,38,zero-shot,1,23485,1,44.36
s_0364,221,9,zero-shot,1,11938,1,66.80
s_0365,292,21,zero-shot,1,5370,1,45.75
s_0366,452,39,zero-shot,1,4468,1,52.93
s_0367,908,60,zero-shot,1,5103,0,
s_0368,144,8,zero-shot,1,9602,1,61.54
s_0369,144,7,zero-shot,1,33091,1,54.66
s_0370,1696,60,zero-shot,1,9180,0,
s_0371,442,27,zero-shot,1,21083,1,70.99
s_0372,746,46,zero-shot,1,8735,1,38.60
s_0373,1583,101,zero-shot,1,30582,1,61.62
s_0374,1391,74,zero-shot,1,6126,1,33.74
s_0375,414,20,zero-shot,1,7530,1,44.00
s_0376,1297,57,zero-shot,1,11746,1,48.03
s_0377,732,25,zero-shot,1,3293,0,
s_0378,294,18,zero-shot,1,22477,1,43.11
s_0379,817,51,zero-shot,1,11577,0,
s_0380,400,19,zero-shot,1,8831,1,57.10
s_0381,830,31,zero-shot,1,14673,1,36.16
s_0382,908,51,zero-shot,1,11120,0,
s_0383,271,11,zero-shot,1,6510,0,
s_0384,1507,111,zero-shot,1,4232,1,55.52
s_0385,409,23,zero-shot,1,7164,1,47.84
s_0386,380,25,zero-shot,1,4758,1,70.99
s_0387,3369,103,zero-shot,1,9745,0,
s_0388,434,31,zero-shot,1,9743,1,33.04
s_0389,760,60,zero-shot,1,11932,0,
s_0390,3558,168,zero-shot,1,3657,1,54.89
s_0391,595,21,zero-shot,1,6302,0,
s_0392,118,9,zero-shot,1,11903,1,61.18
s_0393,4570,146,zero-shot,1,3797,0,
s_0394,581,19,zero-shot,1,6919,1,54.05
s_0395,423,29,zero-shot,1,16089,1,43.65
s_0396,955,48,zero-shot,1,8600,1,38.24
s_0397,597,24,zero-shot,1,20951,0,
s_0398,558,18,zero-shot,1,12711,1,35.57
s_0399,1002,80,zero-shot,1,7780,0,
s_0400,175,15,zero-shot,1,20841,0,
s_0401,1246,79,zero-shot,1,8538,0,
s_0402,754,52,zero-shot,1,3019,1,51.37
s_0403,1864,94,zero-shot,1,18572,1,49.53
s_0404,502,27,zero-shot,1,10201,0,
s_0405,470,29,zero-shot,1,8148,1,53.88
s_0406,1454,41,zero-shot,1,4927,0,
s_0407,283,25,zero-shot,1,16596,1,53.50
s_0408,590,38,zero-shot,1,4569,0,
s_0409,2793,121,zero-shot,1,9420,0,
s_0410,2282,163,zero-shot,1,17126,0,
s_0411,896,24,zero-shot,1,3447,0,
s_0412,785,59,zero-shot,1,3951,0,
s_0413,675,43,zero-shot,1,7447,0,
s_0414,295,19,zero-shot,1,10667,0,
s_0415,175,10,zero-shot,1,12889,1,62.86
s_0416,998,65,zero-shot,1,10454,1,18.97
s_0417,528,23,zero-shot,1,3663,1,31.47
s_0418,351,16,zero-shot,1,7550,1,53.40
s_0419,394,15,zero-shot,1,7051,0,
s_0420,779,22,zero-shot,1,9018,1,41.00
s_0421,750,29,zero-shot,1,5024,1,21.32
s_0422,56,5,zero-shot,1,8437,1,55.79
s_0423,636,24,zero-shot,1,6458,0,
s_0424,1848,92,zero-shot,1,35260,0,
s_0425,204,11,zero-shot,1,4545,0,
s_0426,1087,73,zero-shot,1,6662,1,71.34
s_0427,2219,168,zero-shot,1,7171,0,
s_0428,1499,64,zero-shot,1,41221,0,
s_0429,346,27,zero-shot,1,4997,0,
s_0430,870,44,zero-shot,1,8335,0,
s_0431,887,62,zero-shot,1,7334,0,
s_0432,829,52,zero-shot,1,15423,0,
s_0433,2310,88,zero-shot,1,17486,1,25.47
s_0434,553,42,zero-shot,1,4401,1,53.47
s_0435,7741,198,zero-shot,1,6311,1,52.23
s_0436,1475,43,zero-shot,1,3539,1,48.12
s_0437,440,15,zero-shot,1,10737,1,44.46
s_0438,365,16,zero-shot,1,3497,0,
s_0439,1360,120,zero-shot,1,4275,0,
s_0440,580,34,zero-shot,1,6292,0,
s_0441,4020,135,zero-shot,1,12613,0,
s_0442,713,31,zero-shot,1,13568,0,
s_0443,1019,55,zero-shot,1,6156,1,57.09
s_0444,214,17,zero-shot,1,9763,1,44.88
s_0445,1335,70,zero-shot,1,16156,1,58.13
s_0446,2303,119,zero-shot,1,7343,0,
s_0447,1566,65,zero-shot,1,9112,1,59.39
s_0448,222,11,zero-shot,1,5592,0,
s_0449,1776,88,zero-shot,1,6445,0,
s_0450,680,22,zero-shot,1,5619,0,
s_0451,729,30,zero-shot,1,7727,1,40.15
s_0452,3472,214,zero-shot,1,5340,1,33.97
s_0453,620,20,zero-shot,1,6453,0,
s_0454,1834,91,zero-shot,1,13071,0,
s_0455,3731,95,zero-shot,1,6945,0,
s_0456,596,38,zero-shot,1,12972,1,50.21
s_0457,379,20,zero-shot,1,4713,1,60.89
s_0458,1352,50,zero-shot,1,8229,1,61.54
s_0459,3152,166,zero-shot,1,8006,0,
s_0460,650,36,zero-shot,1,14016,0,
s_0461,1619,91,zero-shot,1,10322,0,
s_0462,156,9,zero-shot,1,6538,1,65.08
s_0463,453,23,zero-shot,1,7297,0,
s_0464,757,34,zero-shot,1,6797,1,42.24
s_0465,1479,83,zero-shot,1,12324,0,
s_0466,1825,119,zero-shot,1,15769,0,
s_0467,767,26,zero-shot,1,3961,0,
s_0468,107,8,zero-shot,1,5184,1,49.75
s_0469,236,21,zero-shot,1,6370,1,73.59
s_0470,3213,131,zero-shot,1,5360,1,32.93
s_0471,351,42,zero-shot,1,6418,1,42.91
s_0472,1188,163,zero-shot,1,16991,0,
s_0473,427,25,zero-shot,1,28265,0,
s_0474,1121,35,zero-shot,1,6723,1,45.26
s_0475,482,24,zero-shot,1,2770,0,
s_0476,1349,41,zero-shot,1,3606,1,48.09
s_0477,2136,100,zero-shot,1,4907,1,50.13
s_0478,193,9,zero-shot,1,7372,1,50.68
s_0479,271,18,zero-shot,1,9500,1,49.90
s_0480,251,14,zero-shot,1,8597,1,36.98
s_0481,1936,108,zero-shot,1,22748,1,30.88
s_0482,547,30,zero-shot,1,17251,1,29.52
s_0483,1450,88,zero-shot,1,6243,1,60.38
s_0484,783,34,zero-shot,1,19498,1,63.66
s_0485,354,24,zero-shot,1,9956,0,
s_0486,481,26,zero-shot,1,8006,1,52.60
s_0487,5186,208,zero-shot,1,6740,0,
s_0488,768,43,zero-shot,1,2051,0,
s_0489,1296,67,zero-shot,1,5239,0,
s_0490,988,48,zero-shot,1,10942,1,44.95
s_0491,182,12,zero-shot,1,5624,0,
s_0492,10245,238,zero-shot,1,13704,0,
s_0493,4482,154,zero-shot,1,7037,0,
s_0494,1583,70,zero-shot,1,12976,1,27.74
s_0495,816,45,zero-shot,1,4148,0,
s_0496,594,44,zero-shot,1,6829,1,58.79
s_0497,1433,94,zero-shot,1,5693,1,52.63
s_0498,323,22,zero-shot,1,5582,1,47.82
s_0499,525,36,zero-shot,1,8009,1,50.59
s_0500,5347,315,zero-shot,1,4560,1,18.93
s_0501,1472,67,zero-shot,1,14896,0,
s_0502,1878,72,zero-shot,1,9438,0,
s_0503,258,18,zero-shot,1,10083,0,
s_0504,1178,62,zero-shot,1,8214,1,55.35
s_0505,450,22,zero-shot,1,20231,0,
s_0506,1755,112,zero-shot,1,7269,0,
s_0507,487,17,zero-shot,1,6894,1,55.89
s_0508,4303,181,zero-shot,1,10386,0,
s_0509,836,36,zero-shot,1,6846,0,
s_0510,3077,107,zero-shot,1,3125,0,
s_0511,240,11,zero-shot,1,10308,0,
s_0512,924,62,zero-shot,1,3068,1,30.40
s_0513,936,59,zero-shot,1,12885,0,
s_0514,2253,87,zero-shot,1,59388,0,
s_0515,2167,87,zero-shot,1,4666,0,
s_0516,3806,145,zero-shot,1,12358,0,
s_0517,275,17,zero-shot,1,4847,1,55.16
s_0518,408,19,zero-shot,1,13316,0,
s_0519,316,23,zero-shot,1,13544,1,53.77
s_0520,440,29,zero-shot,1,7800,0,
s_0521,909,45,zero-shot,1,15123,1,47.13
s_0522,900,63,zero-shot,1,11426,0,
s_0523,1092,57,zero-shot,1,17539,0,
s_0524,328,17,zero-shot,1,16870,1,55.30
s_0525,486,21,zero-shot,1,14668,1,41.25
s_0526,1359,75,zero-shot,1,42566,0,
s_0527,1087,34,zero-shot,1,8968,1,29.99
s_0528,613,19,zero-shot,1,4653,1,56.73
s_0529,1374,75,zero-shot,1,6180,1,53.08
s_0530,534,24,zero-shot,1,9350,1,69.42
s_0531,2548,141,zero-shot,1,6126,0,
s_0532,176,15,zero-shot,1,7666,1,52.34
s_0533,253,20,zero-shot,1,5998,1,81.86
s_0534,550,49,zero-shot,1,6154,1,53.50
s_0535,1466,77,zero-shot,1,4430,0,
s_0536,1604,97,zero-shot,1,4841,0,
s_0537,343,12,zero-shot,1,9524,0,
s_0538,1367,78,zero-shot,1,11604,0,
s_0539,824,40,zero-shot,1,8838,0,
s_0540,1040,50,zero-shot,1,5438,0,
s_0541,1470,49,zero-shot,1,9607,1,42.25
