# RQ6 -- head-to-head on the common Java-8-compatible subset (4,200 classes).
# Paper Table tab:rq6_comparison (Sec. 5.7). One row per class per system.
# All systems run on the same sandboxes and the same metric pipeline; the
# quality columns are populated only where the test finally compiled, and the
# table's means are the means of those columns.
# cost is prompt+completion tokens per class, or CPU-seconds for EvoSuite.
class_id,loc,cyclomatic_complexity,system,compiled_initially,compiled,branch_coverage,line_coverage,mutation_score,mnt,cost,cost_unit
j8_0031,489,18,evosuite,1,1,67.6,69.22,46.38,7.87,172.5,cpu_seconds
j8_0032,2264,91,evosuite,1,1,61.36,72.91,61.44,11.86,257.9,cpu_seconds
j8_0033,4294,175,evosuite,1,1,52.95,60.4,55.07,12.24,311.7,cpu_seconds
j8_0034,115,12,evosuite,1,1,92.36,97.31,90.62,5.84,79.8,cpu_seconds
j8_0035,250,12,evosuite,1,1,64.3,78.35,68.51,12.46,104.2,cpu_seconds
j8_0036,762,48,evosuite,1,1,75.09,86.1,80.3,11.04,185.6,cpu_seconds
j8_0037,825,30,evosuite,1,1,83.63,94.52,71.72,7.44,191.9,cpu_seconds
j8_0038,691,47,evosuite,1,1,89.23,89.13,67.61,9.06,173.1,cpu_seconds
j8_0039,733,25,evosuite,1,1,97.17,100.0,89.93,6.77,129.9,cpu_seconds
j8_0040,88,7,evosuite,1,1,97.19,100.0,90.38,5.03,83.8,cpu_seconds
j8_0041,466,50,evosuite,1,1,96.45,100.0,90.1,8.7,174.7,cpu_seconds
j8_0042,157,14,evosuite,1,1,95.34,98.43,87.92,3.84,104.8,cpu_seconds
j8_0043,344,32,evosuite,1,1,71.43,81.17,77.09,12.9,120.7,cpu_seconds
j8_0044,1536,65,evosuite,1,1,76.57,85.1,72.98,9.48,220.0,cpu_seconds
j8_0045,535,32,evosuite,1,1,100.0,100.0,82.7,3.76,107.5,cpu_seconds
j8_0046,937,56,evosuite,1,1,80.38,87.85,71.58,8.18,198.4,cpu_seconds
j8_0047,441,39,evosuite,1,1,75.23,84.9,73.34,6.04,171.9,cpu_seconds
j8_0048,1882,72,evosuite,1,1,98.03,98.12,100.0,5.78,213.4,cpu_seconds
j8_0049,83,5,evosuite,1,1,80.74,87.41,77.98,14.88,43.7,cpu_seconds
j8_0050,1286,68,evosuite,1,1,79.74,84.34,75.2,6.8,213.0,cpu_seconds
j8_0051,449,30,evosuite,1,1,93.27,97.06,89.76,7.85,145.0,cpu_seconds
j8_0052,524,33,evosuite,1,1,91.96,96.29,92.83,5.23,207.4,cpu_seconds
j8_0053,2244,68,evosuite,1,1,81.14,84.25,78.35,9.65,235.8,cpu_seconds
j8_0054,366,18,evosuite,1,1,91.61,100.0,82.64,7.92,132.4,cpu_seconds
j8_0055,1600,97,evosuite,1,1,79.99,86.32,75.95,7.95,258.1,cpu_seconds
j8_0056,373,19,evosuite,1,1,81.46,92.68,67.01,7.53,131.4,cpu_seconds
j8_0057,1677,104,evosuite,1,1,79.45,79.66,64.94,11.43,172.6,cpu_seconds
j8_0058,1210,81,evosuite,1,1,80.43,81.45,66.2,11.74,218.7,cpu_seconds
j8_0059,994,68,evosuite,1,1,78.25,82.8,63.36,11.58,219.1,cpu_seconds
j8_0060,800,50,evosuite,1,1,100.0,96.86,85.25,8.03,186.9,cpu_seconds
j8_0061,1315,86,evosuite,1,1,82.9,85.36,77.74,7.96,208.8,cpu_seconds
j8_0062,1627,105,evosuite,1,1,72.81,76.39,59.1,13.86,192.2,cpu_seconds
j8_0063,783,32,evosuite,1,1,80.73,83.9,66.35,6.48,160.5,cpu_seconds
j8_0064,1618,110,evosuite,1,1,68.42,80.66,63.45,14.86,241.8,cpu_seconds
j8_0065,282,9,evosuite,1,1,71.86,82.84,61.14,10.54,115.4,cpu_seconds
j8_0066,384,18,evosuite,1,1,89.03,88.02,84.32,9.18,132.9,cpu_seconds
j8_0067,939,47,evosuite,1,1,87.73,92.8,84.51,13.81,191.9,cpu_seconds
j8_0068,4977,185,evosuite,1,1,90.53,92.54,77.9,10.65,316.0,cpu_seconds
j8_0069,478,19,evosuite,1,1,65.2,73.05,73.63,12.55,185.1,cpu_seconds
j8_0070,774,37,evosuite,1,1,78.68,89.38,83.74,11.93,223.3,cpu_seconds
j8_0071,418,17,evosuite,1,1,84.01,88.57,76.34,8.25,150.4,cpu_seconds
j8_0072,191,10,evosuite,1,1,85.12,95.52,91.81,7.77,93.8,cpu_seconds
j8_0073,1066,61,evosuite,1,1,99.58,95.82,89.72,2.35,246.4,cpu_seconds
j8_0074,577,24,evosuite,1,1,71.89,77.56,66.84,13.62,139.8,cpu_seconds
j8_0075,1090,40,evosuite,1,1,100.0,99.62,88.42,7.6,210.2,cpu_seconds
j8_0076,258,21,evosuite,1,1,88.55,89.2,87.88,7.16,43.7,cpu_seconds
j8_0077,792,41,evosuite,1,1,94.06,95.63,74.51,5.79,173.0,cpu_seconds
j8_0078,961,43,evosuite,1,1,88.18,90.23,85.66,4.83,195.1,cpu_seconds
j8_0079,79,6,evosuite,1,1,86.19,87.4,82.26,8.88,43.7,cpu_seconds
j8_0080,1654,56,evosuite,1,1,84.0,90.23,75.85,11.75,249.4,cpu_seconds
j8_0081,756,33,evosuite,1,1,64.27,79.65,73.99,14.54,183.8,cpu_seconds
j8_0082,773,28,evosuite,1,1,86.89,88.69,74.62,9.79,169.1,cpu_seconds
j8_0083,625,42,evosuite,1,1,82.5,87.83,77.89,8.51,145.6,cpu_seconds
j8_0084,470,21,evosuite,1,1,85.75,91.41,87.66,5.26,145.5,cpu_seconds
j8_0085,1011,66,evosuite,1,1,89.35,94.47,87.9,6.41,158.9,cpu_seconds
j8_0086,185,7,evosuite,1,1,91.56,97.41,72.86,7.6,73.3,cpu_seconds
j8_0087,1008,51,evosuite,1,1,78.03,81.38,68.16,10.66,204.0,cpu_seconds
j8_0088,933,31,evosuite,1,1,74.04,78.13,61.39,6.87,123.8,cpu_seconds
j8_0089,747,40,evosuite,1,1,79.75,86.27,64.36,7.64,177.1,cpu_seconds
j8_0090,1102,34,evosuite,1,1,80.22,94.39,98.63,4.46,193.3,cpu_seconds
j8_0091,2540,81,evosuite,1,1,86.56,86.49,69.26,9.47,266.7,cpu_seconds
j8_0092,889,51,evosuite,1,1,86.0,83.47,75.53,8.89,193.5,cpu_seconds
j8_0093,246,13,evosuite,1,1,85.45,87.88,83.18,1.76,85.4,cpu_seconds
j8_0094,307,11,evosuite,1,1,100.0,100.0,93.11,10.91,111.2,cpu_seconds
j8_0095,388,13,evosuite,1,1,80.24,85.34,80.29,13.84,102.0,cpu_seconds
j8_0096,249,11,evosuite,1,1,81.97,85.89,74.49,10.85,97.8,cpu_seconds
j8_0097,254,12,evosuite,1,1,78.66,89.07,71.45,4.45,78.7,cpu_seconds
j8_0098,249,17,evosuite,1,1,79.14,86.23,77.05,8.8,121.1,cpu_seconds
j8_0099,2158,73,evosuite,1,1,92.13,96.5,77.69,4.75,253.7,cpu_seconds
j8_0100,2172,131,evosuite,1,1,66.8,77.1,57.48,11.38,245.0,cpu_seconds
j8_0101,368,19,evosuite,1,1,87.72,87.01,69.54,11.22,157.0,cpu_seconds
j8_0102,1016,42,evosuite,1,1,68.72,73.46,58.9,9.54,170.2,cpu_seconds
j8_0103,875,30,evosuite,1,1,51.25,66.13,44.13,16.47,170.3,cpu_seconds
j8_0104,3175,150,evosuite,1,1,79.66,89.16,76.82,9.09,247.3,cpu_seconds
j8_0105,191,23,evosuite,1,1,76.19,85.78,72.62,12.74,90.7,cpu_seconds
j8_0106,735,38,evosuite,1,1,91.83,97.24,87.14,5.05,168.2,cpu_seconds
j8_0107,398,24,evosuite,1,1,96.29,99.47,80.29,6.99,104.0,cpu_seconds
j8_0108,653,21,evosuite,1,1,73.41,86.06,79.11,10.43,151.6,cpu_seconds
j8_0109,610,55,evosuite,1,1,70.97,83.94,69.24,9.87,170.4,cpu_seconds
j8_0110,328,18,evosuite,1,1,77.96,83.62,72.08,10.56,118.9,cpu_seconds
j8_0111,1360,63,evosuite,1,1,64.18,70.51,47.64,13.27,215.3,cpu_seconds
j8_0112,1557,49,evosuite,1,1,97.79,97.96,88.0,7.37,259.3,cpu_seconds
j8_0113,171,14,evosuite,1,1,94.93,93.1,87.91,6.55,67.0,cpu_seconds
j8_0114,2151,85,evosuite,1,1,72.55,75.07,64.57,10.74,245.2,cpu_seconds
j8_0115,1973,116,evosuite,1,1,78.8,90.14,92.16,10.44,235.2,cpu_seconds
j8_0116,4917,77,evosuite,1,1,72.4,75.87,68.31,13.42,256.9,cpu_seconds
j8_0117,1115,63,evosuite,1,1,85.74,90.58,82.31,3.82,189.3,cpu_seconds
j8_0118,2413,56,evosuite,1,1,73.18,79.13,70.89,11.05,204.6,cpu_seconds
j8_0119,674,45,evosuite,1,1,88.02,86.4,72.66,9.54,206.8,cpu_seconds
j8_0120,531,25,evosuite,1,1,77.49,84.38,86.53,3.8,116.2,cpu_seconds
j8_0121,2561,134,evosuite,1,1,71.57,81.78,66.78,11.56,295.6,cpu_seconds
j8_0122,586,32,evosuite,1,1,80.92,85.36,76.28,5.37,138.1,cpu_seconds
j8_0123,523,60,evosuite,1,1,85.53,89.38,87.39,6.91,180.3,cpu_seconds
j8_0124,921,56,evosuite,1,1,88.22,94.98,65.52,8.55,208.7,cpu_seconds
j8_0125,890,26,evosuite,1,1,74.79,82.52,73.43,12.7,224.9,cpu_seconds
j8_0126,521,34,evosuite,1,1,85.47,92.48,72.13,6.78,155.7,cpu_seconds
j8_0127,1726,45,evosuite,1,1,86.56,92.65,87.34,6.75,216.7,cpu_seconds
j8_0128,993,30,evosuite,1,1,79.5,85.97,74.47,8.69,178.6,cpu_seconds
j8_0129,1372,72,evosuite,1,1,99.12,100.0,78.78,6.92,192.1,cpu_seconds
j8_0130,1720,81,evosuite,1,1,91.78,95.1,95.47,8.34,223.8,cpu_seconds
j8_0131,2051,109,evosuite,1,1,64.53,78.2,56.79,8.01,221.7,cpu_seconds
j8_0132,665,28,evosuite,1,1,67.36,77.55,55.82,10.01,139.4,cpu_seconds
j8_0133,2329,110,evosuite,1,1,80.48,94.0,76.58,8.31,242.9,cpu_seconds
j8_0134,5819,162,evosuite,1,1,65.22,73.66,64.06,13.34,310.3,cpu_seconds
j8_0135,1145,63,evosuite,1,1,99.34,97.39,95.38,5.07,194.4,cpu_seconds
j8_0136,619,20,evosuite,1,1,81.17,93.42,80.64,10.21,120.0,cpu_seconds
j8_0137,141,10,evosuite,1,1,76.94,86.91,67.32,6.72,72.2,cpu_seconds
j8_0138,155,8,evosuite,1,1,100.0,100.0,83.61,2.3,117.0,cpu_seconds
j8_0139,805,35,evosuite,1,1,65.69,73.12,64.17,8.94,187.8,cpu_seconds
j8_0140,356,28,evosuite,1,1,88.8,95.67,77.28,11.63,111.5,cpu_seconds
j8_0141,1219,65,evosuite,1,1,72.85,78.16,75.45,7.63,187.5,cpu_seconds
j8_0142,2006,87,evosuite,1,1,64.44,74.16,54.28,11.26,254.5,cpu_seconds
j8_0143,1020,72,evosuite,1,1,89.95,87.61,85.36,6.58,208.7,cpu_seconds
j8_0144,268,8,evosuite,1,1,79.64,83.54,67.43,11.2,99.7,cpu_seconds
j8_0145,210,11,evosuite,1,1,89.8,85.25,99.56,5.05,96.9,cpu_seconds
j8_0146,318,21,evosuite,1,1,69.64,75.97,79.59,8.36,95.3,cpu_seconds
j8_0147,1691,85,evosuite,1,1,75.7,80.22,55.04,11.94,236.9,cpu_seconds
j8_0148,1452,61,evosuite,1,1,72.17,71.61,69.99,11.54,209.5,cpu_seconds
j8_0149,792,44,evosuite,1,1,76.05,84.98,72.78,13.57,199.9,cpu_seconds
j8_0150,745,49,evosuite,1,1,80.72,86.93,74.82,11.41,129.8,cpu_seconds
j8_0151,2208,135,evosuite,1,1,79.2,85.71,70.91,5.56,240.1,cpu_seconds
j8_0152,659,42,evosuite,1,1,68.09,79.34,62.68,14.18,161.0,cpu_seconds
j8_0153,2756,96,evosuite,1,1,68.45,80.11,64.01,9.24,310.7,cpu_seconds
j8_0154,1002,43,evosuite,1,1,97.19,94.97,100.0,6.41,211.9,cpu_seconds
j8_0155,620,39,evosuite,1,1,81.79,84.36,79.46,8.92,222.3,cpu_seconds
j8_0156,559,38,evosuite,1,1,82.63,92.35,74.98,6.15,159.1,cpu_seconds
j8_0157,1293,46,evosuite,1,1,75.34,82.25,69.68,9.75,180.4,cpu_seconds
j8_0158,1484,55,evosuite,1,1,84.12,84.71,72.82,8.94,251.4,cpu_seconds
j8_0159,325,14,evosuite,1,1,99.58,93.9,75.13,6.04,102.0,cpu_seconds
j8_0160,2790,272,evosuite,1,1,65.63,76.34,62.31,12.34,254.5,cpu_seconds
j8_0161,146,8,evosuite,1,1,85.24,86.05,70.0,7.01,64.5,cpu_seconds
j8_0162,949,34,evosuite,1,1,65.01,77.57,66.42,10.94,230.3,cpu_seconds
j8_0163,3191,85,evosuite,1,1,63.42,72.79,62.3,14.99,280.7,cpu_seconds
j8_0164,176,9,evosuite,1,1,96.08,99.51,89.75,7.39,108.3,cpu_seconds
j8_0165,711,45,evosuite,1,1,75.88,84.54,78.02,9.84,186.4,cpu_seconds
j8_0166,786,32,evosuite,1,1,100.0,100.0,100.0,2.0,198.4,cpu_seconds
j8_0167,114,11,evosuite,1,1,100.0,100.0,100.0,4.6,76.2,cpu_seconds
j8_0168,1022,40,evosuite,1,1,69.72,77.07,59.77,9.85,204.7,cpu_seconds
j8_0169,843,43,evosuite,1,1,83.51,86.79,76.2,6.69,173.7,cpu_seconds
j8_0170,320,17,evosuite,1,1,84.47,84.69,82.23,4.41,125.6,cpu_seconds
j8_0171,1552,59,evosuite,1,1,59.44,70.43,58.56,10.83,181.8,cpu_seconds
j8_0172,126,8,evosuite,1,1,97.9,98.67,95.46,4.41,75.1,cpu_seconds
j8_0173,120,16,evosuite,1,1,86.97,86.64,73.3,8.97,56.4,cpu_seconds
j8_0174,2088,85,evosuite,1,1,76.66,84.62,78.68,13.73,255.3,cpu_seconds
j8_0175,1108,95,evosuite,1,1,86.5,87.46,83.75,11.57,209.9,cpu_seconds
j8_0176,319,24,evosuite,1,1,90.08,94.37,82.87,3.63,158.7,cpu_seconds
j8_0177,376,30,evosuite,1,1,70.95,83.12,84.71,6.95,160.8,cpu_seconds
j8_0178,148,13,evosuite,1,1,100.0,100.0,85.25,7.44,101.8,cpu_seconds
j8_0179,266,9,evosuite,1,1,91.5,99.46,89.37,8.19,96.6,cpu_seconds
j8_0180,228,13,evosuite,1,1,99.02,94.75,67.08,7.1,110.7,cpu_seconds
j8_0181,1368,50,evosuite,1,1,64.27,71.33,55.46,13.52,230.1,cpu_seconds
j8_0182,506,25,evosuite,1,1,93.36,98.81,80.95,4.21,151.6,cpu_seconds
j8_0183,423,21,evosuite,1,1,87.68,94.36,86.88,3.9,134.7,cpu_seconds
j8_0184,1423,36,evosuite,1,1,67.04,73.95,59.25,9.84,175.8,cpu_seconds
j8_0185,1056,59,evosuite,1,1,82.86,95.06,83.41,9.45,199.8,cpu_seconds
j8_0186,2098,83,evosuite,1,1,73.83,83.75,79.36,13.71,235.5,cpu_seconds
j8_0187,184,10,evosuite,1,1,99.99,99.03,96.89,7.49,116.2,cpu_seconds
j8_0188,2521,213,evosuite,1,1,73.48,74.83,71.45,6.68,287.5,cpu_seconds
j8_0189,1086,64,evosuite,1,1,78.61,89.01,82.03,5.04,170.4,cpu_seconds
j8_0190,510,34,evosuite,1,1,80.06,84.56,65.8,9.0,135.9,cpu_seconds
j8_0191,1714,80,evosuite,1,1,79.56,82.99,72.88,5.25,221.3,cpu_seconds
j8_0192,4172,125,evosuite,1,1,79.49,85.21,75.53,10.53,279.2,cpu_seconds
j8_0193,679,44,evosuite,1,1,75.38,78.31,69.91,8.4,181.8,cpu_seconds
j8_0194,666,22,evosuite,1,1,58.75,67.36,53.82,13.14,228.0,cpu_seconds
j8_0195,537,52,evosuite,1,1,77.64,83.88,55.34,9.24,151.4,cpu_seconds
j8_0196,132,4,evosuite,1,1,70.56,75.18,69.14,10.45,43.7,cpu_seconds
j8_0197,2565,109,evosuite,1,1,84.36,92.18,70.79,3.44,247.3,cpu_seconds
j8_0198,1335,29,evosuite,1,1,87.65,86.93,79.14,10.03,269.1,cpu_seconds
j8_0199,1208,59,evosuite,1,1,82.71,83.88,89.39,10.18,195.2,cpu_seconds
j8_0200,1397,53,evosuite,1,1,81.46,76.68,77.97,9.8,216.2,cpu_seconds
j8_0201,494,41,evosuite,1,1,89.89,97.19,71.65,8.84,160.3,cpu_seconds
j8_0202,5803,295,evosuite,1,1,66.72,72.09,57.53,14.42,317.9,cpu_seconds
j8_0203,883,45,evosuite,1,1,82.2,91.04,74.81,7.32,148.4,cpu_seconds
j8_0204,579,30,evosuite,1,1,70.76,74.88,51.6,11.5,181.1,cpu_seconds
j8_0205,267,20,evosuite,1,1,83.01,86.67,75.65,4.6,43.7,cpu_seconds
j8_0206,8478,411,evosuite,1,1,66.91,75.89,67.42,11.78,322.8,cpu_seconds
j8_0207,1670,84,evosuite,1,1,74.69,79.3,85.27,13.37,161.4,cpu_seconds
j8_0208,1748,53,evosuite,1,1,67.76,74.47,68.47,12.21,257.8,cpu_seconds
j8_0209,1124,50,evosuite,1,1,60.56,73.35,60.22,14.16,234.9,cpu_seconds
j8_0210,239,12,evosuite,1,1,95.62,93.7,78.58,9.28,139.4,cpu_seconds
j8_0211,1680,80,evosuite,1,1,90.91,92.41,70.55,11.19,224.3,cpu_seconds
j8_0212,552,13,evosuite,1,1,63.47,76.19,66.2,9.02,118.7,cpu_seconds
j8_0213,441,13,evosuite,1,1,84.77,83.91,88.55,9.54,154.5,cpu_seconds
j8_0214,2762,101,evosuite,1,1,98.97,99.39,86.73,7.99,291.2,cpu_seconds
j8_0215,684,26,evosuite,1,1,72.79,81.91,57.31,5.39,142.9,cpu_seconds
j8_0216,465,23,evosuite,1,1,94.19,88.86,83.72,12.18,155.6,cpu_seconds
j8_0217,163,10,evosuite,1,1,75.49,82.34,61.23,11.27,43.7,cpu_seconds
j8_0218,215,16,evosuite,1,1,85.34,94.48,75.56,10.97,107.3,cpu_seconds
j8_0219,826,61,evosuite,1,1,69.37,71.55,40.55,15.13,183.5,cpu_seconds
j8_0220,1056,58,evosuite,1,1,100.0,94.14,100.0,5.87,187.0,cpu_seconds
j8_0221,1230,52,evosuite,1,1,90.29,92.02,81.8,9.44,192.3,cpu_seconds
j8_0222,431,22,evosuite,1,1,81.05,91.92,74.25,7.63,157.7,cpu_seconds
j8_0223,523,27,evosuite,1,1,92.84,92.63,80.84,7.6,168.3,cpu_seconds
j8_0224,1399,44,evosuite,1,1,85.67,83.92,73.4,10.36,182.7,cpu_seconds
j8_0225,294,19,evosuite,1,1,71.18,80.21,60.79,14.67,145.3,cpu_seconds
j8_0226,155,8,evosuite,1,1,78.13,79.26,67.2,9.36,114.0,cpu_seconds
j8_0227,872,32,evosuite,1,1,83.29,87.88,72.92,10.56,203.2,cpu_seconds
j8_0228,1112,58,evosuite,1,1,69.81,80.53,56.52,14.03,259.5,cpu_seconds
j8_0229,216,8,evosuite,1,1,85.3,92.66,82.06,7.18,113.1,cpu_seconds
j8_0230,4356,180,evosuite,1,1,49.78,64.96,41.89,16.77,236.8,cpu_seconds
j8_0231,511,23,evosuite,1,1,82.28,86.89,67.2,6.02,133.3,cpu_seconds
j8_0232,435,14,evosuite,1,1,85.22,92.37,64.13,9.85,105.6,cpu_seconds
j8_0233,2687,136,evosuite,1,1,54.36,67.62,56.01,13.44,274.2,cpu_seconds
j8_0234,484,26,evosuite,1,1,94.79,88.31,82.96,4.47,177.8,cpu_seconds
j8_0235,443,37,evosuite,1,1,71.76,80.83,62.97,8.64,148.9,cpu_seconds
j8_0236,257,13,evosuite,1,1,89.49,99.24,64.44,13.79,69.3,cpu_seconds
j8_0237,1413,110,evosuite,1,1,92.46,96.05,80.3,4.92,164.8,cpu_seconds
j8_0238,429,32,evosuite,1,1,81.51,91.38,85.82,7.04,185.1,cpu_seconds
j8_0239,1873,92,evosuite,1,1,71.96,86.26,62.99,7.31,277.3,cpu_seconds
j8_0240,557,43,evosuite,1,1,77.89,84.49,74.25,7.47,215.8,cpu_seconds
j8_0241,372,26,evosuite,1,1,100.0,100.0,90.16,7.93,135.4,cpu_seconds
j8_0242,2701,108,evosuite,1,1,86.75,88.89,83.71,10.57,223.8,cpu_seconds
j8_0243,1862,81,evosuite,1,1,70.54,79.84,79.66,10.64,240.6,cpu_seconds
j8_0244,437,21,evosuite,1,1,90.11,90.61,74.19,4.9,89.1,cpu_seconds
j8_0245,520,31,evosuite,1,1,79.69,81.13,77.16,12.4,201.5,cpu_seconds
j8_0246,1556,74,evosuite,1,1,63.98,78.42,59.59,9.77,220.7,cpu_seconds
j8_0247,390,24,evosuite,1,1,93.72,97.07,98.36,6.37,208.5,cpu_seconds
j8_0248,417,21,evosuite,1,1,94.88,100.0,80.18,6.01,126.3,cpu_seconds
j8_0249,279,18,evosuite,1,1,90.61,85.62,79.29,8.51,84.0,cpu_seconds
j8_0250,885,37,evosuite,1,1,85.79,84.85,86.41,6.08,142.8,cpu_seconds
j8_0251,868,37,evosuite,1,1,63.81,77.61,51.49,9.53,184.1,cpu_seconds
j8_0252,2293,96,evosuite,1,1,77.55,85.73,71.78,13.09,285.1,cpu_seconds
j8_0253,500,21,evosuite,1,1,79.03,97.18,81.99,8.78,139.2,cpu_seconds
j8_0254,288,17,evosuite,1,1,88.72,92.72,75.94,6.64,99.5,cpu_seconds
j8_0255,644,29,evosuite,1,1,71.45,76.75,67.22,6.61,193.3,cpu_seconds
j8_0256,1262,64,evosuite,1,1,81.94,92.45,78.48,4.21,209.7,cpu_seconds
j8_0257,202,8,evosuite,1,1,86.78,96.01,77.51,9.75,71.8,cpu_seconds
j8_0258,1752,75,evosuite,1,1,77.22,84.89,71.99,7.22,237.9,cpu_seconds
j8_0259,1026,56,evosuite,1,1,77.9,85.21,69.9,10.09,180.4,cpu_seconds
j8_0260,987,53,evosuite,1,1,78.9,80.06,69.56,8.47,213.4,cpu_seconds
j8_0261,1228,33,evosuite,1,1,82.82,87.16,72.43,9.13,185.6,cpu_seconds
j8_0262,381,30,evosuite,1,1,77.53,81.98,61.37,10.6,177.8,cpu_seconds
j8_0263,383,28,evosuite,1,1,63.66,75.25,68.87,13.25,110.7,cpu_seconds
j8_0264,3347,96,evosuite,1,1,63.47,70.3,54.05,10.97,258.8,cpu_seconds
j8_0265,580,28,evosuite,1,1,96.61,94.99,80.91,3.84,190.9,cpu_seconds
j8_0266,2418,69,evosuite,1,1,80.45,80.92,77.86,7.54,183.0,cpu_seconds
j8_0267,662,52,evosuite,1,1,94.89,100.0,91.48,6.65,157.2,cpu_seconds
j8_0268,198,14,evosuite,1,1,91.71,90.87,74.82,7.55,103.4,cpu_seconds
j8_0269,568,23,evosuite,1,1,80.45,83.32,64.19,11.85,193.1,cpu_seconds
j8_0270,675,33,evosuite,1,1,96.6,99.08,98.94,4.83,178.3,cpu_seconds
j8_0271,554,46,evosuite,1,1,78.82,87.69,77.85,8.52,197.4,cpu_seconds
j8_0272,1514,61,evosuite,1,1,75.33,87.91,71.77,7.52,223.5,cpu_seconds
j8_0273,898,50,evosuite,1,1,92.72,99.16,92.57,2.88,124.9,cpu_seconds
j8_0274,1281,51,evosuite,1,1,73.66,84.19,67.27,10.88,136.8,cpu_seconds
j8_0275,1587,62,evosuite,1,1,90.58,92.21,90.68,4.11,253.5,cpu_seconds
j8_0276,926,31,evosuite,1,1,70.37,79.52,76.91,10.01,174.7,cpu_seconds
j8_0277,2253,122,evosuite,1,1,77.69,81.4,78.34,11.31,229.3,cpu_seconds
j8_0278,1011,90,evosuite,1,1,75.88,78.65,55.15,10.25,191.4,cpu_seconds
j8_0279,721,50,evosuite,1,1,87.83,90.62,77.75,11.95,123.3,cpu_seconds
j8_0280,353,24,evosuite,1,1,90.75,89.84,66.42,10.14,151.9,cpu_seconds
j8_0281,2915,99,evosuite,1,1,90.5,87.84,76.26,7.32,293.9,cpu_seconds
j8_0282,1927,132,evosuite,1,1,66.4,82.58,72.3,11.82,221.8,cpu_seconds
j8_0283,661,42,evosuite,1,1,70.17,78.83,60.51,15.38,149.1,cpu_seconds
j8_0284,851,23,evosuite,1,1,81.37,85.97,75.48,10.45,231.6,cpu_seconds
j8_0285,463,17,evosuite,1,1,83.36,82.57,65.69,6.18,170.0,cpu_seconds
